time,gFx,gFy,gFz,TgF
3.843204421,-0.9973,-0.0157,0.1681,1.012
3.852786421,-0.9856,-0.0078,0.3089,1.033
3.863388421,-0.9699,0.0312,0.3989,1.049
3.872888036,-0.9190,0.0587,0.4302,1.016
3.883149382,-0.8603,0.0704,0.4106,0.956
3.893420844,-0.8917,0.1017,0.3871,0.977
3.903490997,-0.8721,0.0782,0.3793,0.954
3.913849459,-0.8917,0.0861,0.3716,0.970
3.923613382,-0.9073,0.0430,0.3833,0.986
3.933949574,-0.9269,0.0352,0.3793,1.002
3.944058767,-0.9542,0.0430,0.3911,1.032
3.954618382,-0.9621,0.0352,0.3716,1.032
3.965580228,-0.9504,0.0704,0.3636,1.020
3.974457074,-0.9659,0.0665,0.3598,1.033
3.984732882,-0.8955,0.0782,0.3793,0.976
3.995440113,-0.9190,0.0782,0.3754,0.996
4.004788344,-0.9230,0.0978,0.3716,1.000
4.015578036,-0.9152,0.1056,0.3636,0.990
4.02526542,-0.9464,0.0978,0.3676,1.020
4.035236574,-0.9504,0.0899,0.3598,1.020
4.045230574,-0.9269,0.0704,0.3559,0.995
4.055506882,-0.9307,0.0665,0.3559,0.999
4.065674574,-0.9269,0.0821,0.3716,1.002
4.076093074,-0.9230,0.0861,0.3871,1.005
4.086166536,-0.8917,0.0704,0.3871,0.975
4.097336113,-0.8995,0.0704,0.3871,0.982
4.106354267,-0.9190,0.0509,0.3871,0.999
4.116352882,-0.9152,0.0469,0.3871,0.995
4.126334882,-0.9112,0.0626,0.3598,0.982
4.136727036,-0.9034,0.0626,0.3519,0.972
4.149806343,-0.8838,0.0665,0.3441,0.951
4.157005959,-0.8917,0.0547,0.3441,0.957
4.167083997,-0.9269,0.0744,0.3402,0.990
4.177240266,-0.8878,0.0782,0.3559,0.960
4.187231074,-0.9152,0.0782,0.3636,0.988
4.197154305,-0.8995,0.0861,0.3598,0.973
4.207410459,-0.8955,0.1134,0.3481,0.967
4.217477266,-0.9190,0.0939,0.3364,0.983
4.227774882,-0.9152,0.1173,0.3324,0.981
4.23786669,-0.8995,0.0821,0.3089,0.955
4.248087382,-0.8917,0.1173,0.2855,0.944
4.25860519,-0.8800,0.1017,0.2972,0.934
4.268705959,-0.8878,0.1134,0.3168,0.949
4.280731536,-0.8878,0.1446,0.3324,0.959
4.288429651,-0.8878,0.1486,0.3519,0.966
4.298752882,-0.8486,0.1408,0.3598,0.932
4.308987651,-0.8721,0.1603,0.3324,0.947
4.319398766,-0.9034,0.1603,0.2934,0.963
4.329315497,-0.9190,0.1798,0.2307,0.964
4.339496843,-0.9464,0.2151,0.1838,0.988
4.349930882,-0.9621,0.1995,0.1760,0.998
4.360606074,-0.9894,0.1838,0.2385,1.034
4.370019728,-1.0051,0.1564,0.3207,1.067
4.380016536,-1.0364,0.1329,0.3911,1.116
4.389714882,-1.0638,0.1212,0.4615,1.166
4.399739805,-1.0403,0.1173,0.4889,1.155
4.414145305,-1.0286,0.1173,0.4927,1.147
4.419995189,-0.9894,0.1096,0.4420,1.089
4.430584305,-0.9347,0.1096,0.4028,1.024
4.440891843,-0.8917,0.1056,0.3636,0.969
4.450856766,-0.8878,0.1096,0.3481,0.960
4.460829843,-0.8917,0.1329,0.3402,0.964
4.471053036,-0.9269,0.1408,0.3364,0.996
4.481408805,-0.8955,0.1446,0.3481,0.972
4.491294535,-0.9034,0.1643,0.3402,0.979
4.501461035,-0.8917,0.1603,0.3402,0.968
4.511776882,-0.8917,0.1721,0.3481,0.973
4.521971459,-0.8721,0.1878,0.3559,0.960
4.532097189,-0.8760,0.1838,0.3676,0.968
4.542032228,-0.8800,0.1995,0.3676,0.974
4.552144535,-0.8878,0.2190,0.3833,0.991
4.562102074,-0.9190,0.2347,0.3716,1.019
4.572331497,-0.9347,0.2503,0.3676,1.035
4.582752959,-0.9582,0.2620,0.3598,1.056
4.592523535,-0.9816,0.2620,0.3481,1.074
4.602899612,-1.0051,0.2699,0.3324,1.093
4.612538766,-0.9894,0.2347,0.3402,1.072
4.622966612,-0.9621,0.2190,0.3246,1.039
4.633305189,-0.9386,0.1838,0.3129,1.006
4.642785612,-0.9269,0.1916,0.3324,1.003
4.653157882,-0.9112,0.1721,0.3324,0.985
4.663194074,-0.9034,0.1955,0.3519,0.989
4.673803497,-0.8995,0.1878,0.3441,0.981
4.683740035,-0.9190,0.1681,0.3324,0.992
4.693560651,-0.9073,0.1446,0.3168,0.972
4.704279958,-0.9582,0.1212,0.3129,1.015
4.714217112,-0.9894,0.0744,0.3364,1.048
4.724479728,-1.0168,0.0547,0.3129,1.065
4.734613612,-1.0364,0.0665,0.3246,1.088
4.744259651,-1.0676,0.0978,0.3402,1.125
4.754165035,-1.0520,0.1446,0.3636,1.122
