time,gFx,gFy,gFz,TgF
9.24421234,-0.9386,-0.0117,0.3324,0.996
9.248452955,-0.9190,0.0157,0.3950,1.000
9.258710609,-0.9034,0.0117,0.4341,1.002
9.270823186,-0.8917,0.0312,0.4223,0.987
9.278596186,-0.8838,0.0312,0.4145,0.977
9.288519032,-0.8682,0.0235,0.4028,0.957
9.298804301,-0.8760,0.0274,0.3871,0.958
9.308823763,-0.9073,0.0274,0.3716,0.981
9.318656071,-0.9152,0.0195,0.3871,0.994
9.329809609,-0.9347,0.0235,0.3833,1.011
9.338938763,-0.9307,-0.0117,0.3833,1.007
9.349666532,-0.9425,0.0157,0.3793,1.016
9.359670571,-0.9190,0.0157,0.3950,1.000
9.369388455,-0.9347,0.0312,0.3950,1.015
9.379626724,-0.9307,0.0274,0.4028,1.015
9.390059801,-0.9152,0.0117,0.4106,1.003
9.402250878,-0.9034,0.0509,0.3989,0.989
9.410229455,-0.8917,0.0195,0.4028,0.979
9.420222147,-0.9347,0.0352,0.4106,1.022
9.430299455,-0.8955,0.0352,0.4028,0.983
9.440525955,-0.9152,0.0352,0.3989,0.999
9.450553378,-0.9190,0.0157,0.3871,0.997
9.461226417,-0.8995,0.0312,0.3911,0.981
9.470884301,-0.8995,0.0312,0.3833,0.978
9.482004263,-0.8955,0.0235,0.3833,0.974
9.491598532,-0.8995,0.0352,0.4028,0.986
9.501626994,-0.9034,0.0235,0.4028,0.989
9.511970917,-0.9152,0.0312,0.3950,0.997
9.521435532,-0.8955,0.0235,0.3833,0.974
9.532008263,-0.9112,0.0195,0.3989,0.995
9.54227407,-0.8917,0.0078,0.3793,0.969
9.55223857,-0.9307,0.0235,0.3911,1.010
9.562526186,-0.9152,0.0469,0.4068,1.003
9.571962763,-0.9034,0.0509,0.3950,0.987
9.582350109,-0.9152,0.0352,0.4145,1.005
9.592766763,-0.9386,0.0235,0.4185,1.028
9.602788417,-0.9112,0.0352,0.4302,1.008
9.613764917,-0.9034,0.0195,0.3950,0.986
9.623344955,-0.9073,0.0274,0.4185,1.000
9.633284493,-0.9269,0.0078,0.3911,1.006
9.643400109,-0.9152,0.0235,0.3989,0.999
9.653501917,-0.9464,0.0469,0.3911,1.025
9.663857378,-0.9307,0.0274,0.3989,1.013
9.673395147,-0.9152,0.0392,0.3950,0.998
9.683646993,-0.9347,0.0352,0.3911,1.014
9.693715416,-0.9073,0.0157,0.4068,0.994
9.70397884,-0.8878,0.0040,0.3950,0.972
9.714697916,-0.8760,0.0040,0.4028,0.964
9.724713378,-0.8682,0.0000,0.3911,0.952
9.734661955,-0.9112,0.0000,0.3754,0.986
9.745607455,-0.9582,0.0117,0.3636,1.025
9.75504057,-0.9739,0.0430,0.3716,1.043
9.765253609,-0.9856,0.0626,0.3636,1.052
9.774987186,-0.9777,0.0547,0.3676,1.046
9.785109609,-0.9386,0.0939,0.3793,1.017
9.795991186,-0.9190,0.0978,0.3793,0.999
9.805527916,-0.8995,0.0782,0.3911,0.984
9.815437724,-0.8917,0.0665,0.3833,0.973
9.825925493,-0.9034,0.0626,0.3754,0.980
9.835878955,-0.8995,0.0587,0.3636,0.972
9.846145993,-0.9073,0.0665,0.3636,0.980
9.85665757,-0.9269,0.0665,0.3559,0.995
9.866320263,-0.9307,0.0704,0.3676,1.003
9.877848916,-0.9190,0.0587,0.3559,0.987
9.886757839,-0.9464,0.0547,0.3911,1.026
9.896673647,-0.9112,0.0509,0.3793,0.988
9.906663339,-0.9152,0.0274,0.3871,0.994
9.916832109,-0.8682,0.0195,0.3793,0.948
9.92724757,-0.8955,0.0195,0.3871,0.976
9.937455916,-0.9073,0.0274,0.3950,0.990
9.947277839,-0.9112,0.0469,0.3833,0.990
9.957320724,-0.9269,0.0626,0.3833,1.005
9.967590532,-0.9347,0.0744,0.3911,1.016
9.977838109,-0.9190,0.0626,0.3676,0.992
9.988233224,-0.9464,0.0939,0.3676,1.020
9.997798416,-0.9464,0.1096,0.3481,1.014
10.009642839,-0.9699,0.1056,0.3364,1.032
10.018732839,-0.9816,0.1056,0.3246,1.039
10.03187807,-0.9699,0.0899,0.3129,1.023
10.038805878,-0.9347,0.0704,0.3011,0.985
10.048432416,-0.9152,0.0939,0.3168,0.973
10.060769878,-0.8838,0.0782,0.3286,0.946
10.068892532,-0.8721,0.0509,0.3364,0.936
10.079319301,-0.8213,0.0312,0.3402,0.890
10.089322955,-0.8917,0.0469,0.3168,0.947
10.099565839,-0.9269,0.0626,0.3011,0.977
10.109673493,-0.9934,0.0939,0.2659,1.033
10.119760224,-1.0011,0.0899,0.2620,1.039
10.130236801,-1.0129,0.0821,0.2777,1.053
10.140658378,-0.9934,0.0782,0.3051,1.042
10.15002257,-1.0129,0.0392,0.3402,1.069
10.160191685,-1.0168,0.0274,0.3636,1.080
10.170186762,-0.9894,0.0000,0.3481,1.049
10.180387955,-0.9464,-0.0195,0.3519,1.010
10.19109507,-0.9386,-0.0157,0.3364,0.997
10.200136147,-0.9230,-0.0157,0.3402,0.984
10.210940839,-0.9347,-0.0157,0.3598,1.002
10.221049916,-0.9582,-0.0078,0.3716,1.028
10.231240301,-0.9504,0.0430,0.3833,1.026
10.240749647,-0.9504,0.0626,0.3871,1.028
10.251036762,-0.8995,0.0704,0.3911,0.983
10.260878801,-0.8878,0.0782,0.3871,0.972
10.271413839,-0.8408,0.0704,0.3754,0.923
10.281175455,-0.8408,0.0665,0.3754,0.923
10.292061493,-0.8408,0.0547,0.3871,0.927
10.301737185,-0.8565,0.0626,0.3833,0.940
10.311784454,-0.8291,0.0665,0.3754,0.913
10.322206147,-0.8643,0.1056,0.3754,0.948
10.332131301,-0.8682,0.1173,0.3636,0.949
10.342075301,-0.9152,0.1173,0.3559,0.989
10.352705108,-0.9699,0.1721,0.3559,1.047
10.362521762,-0.9777,0.1798,0.3676,1.060
10.372509224,-1.0051,0.1681,0.3559,1.079
10.382721147,-0.9973,0.1526,0.3286,1.061
10.392876108,-0.9621,0.1446,0.3168,1.023
10.402946724,-0.9582,0.1760,0.3051,1.021
10.413101262,-0.9777,0.1878,0.2934,1.038
10.423381108,-0.9504,0.1878,0.3324,1.024
10.433223224,-0.9464,0.1878,0.3207,1.017
10.443363801,-0.9504,0.1916,0.3011,1.015
