time,gFx,gFy,gFz,TgF
11.924214991,-0.9504,0.0157,0.2894,0.994
11.933652991,-0.9307,0.0195,0.3324,0.989
11.943840491,-0.9582,0.0392,0.3598,1.024
11.953631222,-0.9386,0.0469,0.3598,1.006
11.964360991,-0.9152,0.0587,0.3286,0.974
11.974483953,-0.8760,0.0469,0.3324,0.938
11.984384183,-0.8955,0.0665,0.3207,0.954
11.994705645,-0.9190,0.0547,0.3207,0.975
12.004533568,-0.9034,0.0392,0.3246,0.961
12.014814722,-0.9230,0.0352,0.3364,0.983
12.024895953,-0.9504,0.0469,0.3559,1.016
12.035050453,-0.9542,0.0509,0.3441,1.016
12.045200337,-0.9699,0.0352,0.3519,1.032
12.055508183,-0.9699,0.0430,0.3402,1.029
12.065762299,-0.9659,0.0274,0.3246,1.019
12.075528222,-0.9621,0.0469,0.3324,1.019
12.085329876,-0.9621,0.0430,0.3481,1.024
12.096102799,-0.9425,0.0392,0.3441,1.004
12.106020799,-0.9152,0.0312,0.3324,0.974
12.115793683,-0.9386,0.0312,0.3519,1.003
12.126594452,-0.9269,0.0235,0.3519,0.992
12.136341991,-0.9504,0.0274,0.3559,1.015
12.146404491,-0.9464,0.0312,0.3636,1.014
12.156300491,-0.9347,0.0352,0.3559,1.001
12.166855952,-0.9347,0.0430,0.3481,0.998
12.176637145,-0.9307,0.0352,0.3441,0.993
12.186980452,-0.9386,0.0509,0.3364,0.998
12.196880452,-0.9386,0.0392,0.3402,0.999
12.207256106,-0.9621,0.0509,0.3402,1.022
12.216936799,-0.9504,0.0352,0.3481,1.013
12.230625952,-0.9699,0.0626,0.3402,1.030
12.237258914,-0.9386,0.0430,0.3402,0.999
12.24732776,-0.9621,0.0392,0.3559,1.027
12.257701029,-0.9386,0.0392,0.3559,1.005
12.268069106,-0.9386,0.0469,0.3519,1.004
12.278094491,-0.9269,0.0469,0.3441,0.990
12.288290491,-0.9152,0.0235,0.3402,0.977
12.297800722,-0.9230,0.0312,0.3402,0.984
12.309876798,-0.9464,0.0352,0.3519,1.010
12.318384298,-0.9582,0.0430,0.3324,1.015
12.328770491,-0.9621,0.0274,0.3364,1.020
12.338575991,-0.9504,0.0274,0.3364,1.009
12.348847452,-0.9464,0.0235,0.3324,1.003
12.36389126,-0.9425,0.0312,0.3364,1.001
12.368884645,-0.9386,0.0274,0.3441,1.000
12.379110414,-0.9386,0.0274,0.3324,0.996
12.389324337,-0.9425,0.0157,0.3364,1.001
12.399504952,-0.9386,0.0430,0.3286,0.995
12.409613221,-0.9347,0.0392,0.3441,0.997
12.419993721,-0.9386,0.0392,0.3481,1.002
12.429839183,-0.9699,0.0195,0.3559,1.033
12.440114721,-0.9856,0.0235,0.3402,1.043
12.450366068,-0.9816,0.0352,0.3519,1.043
12.460649568,-0.9777,0.0312,0.3559,1.041
12.470577414,-0.9777,0.0078,0.3364,1.034
12.480408491,-0.9504,0.0157,0.3089,0.999
12.490690914,-0.9542,0.0235,0.3089,1.003
12.501119414,-0.9230,0.0000,0.2699,0.962
12.511098375,-0.9621,0.0157,0.2737,1.000
12.521260337,-0.9542,0.0392,0.2737,0.993
12.531452183,-0.9464,0.0547,0.2934,0.992
12.541661914,-0.9347,0.0587,0.2855,0.979
12.551503491,-0.9582,0.0626,0.3051,1.008
12.561301414,-0.9347,0.0587,0.3168,0.989
12.571704606,-0.9307,0.0939,0.3364,0.994
12.582433837,-0.9230,0.0782,0.3207,0.980
12.591964337,-0.9739,0.1017,0.3168,1.029
12.602165491,-0.9777,0.0899,0.2972,1.026
12.612119875,-1.0011,0.1017,0.2816,1.045
12.622922837,-0.9894,0.1056,0.2855,1.035
12.632716529,-0.9464,0.0821,0.2777,0.990
12.642957029,-0.9347,0.0978,0.3089,0.989
12.652382414,-0.8995,0.1096,0.3168,0.960
12.662717914,-0.9034,0.1173,0.3402,0.972
12.673027414,-0.8800,0.1056,0.3324,0.947
12.68313726,-0.9034,0.1056,0.3324,0.968
12.693068567,-0.8878,0.1096,0.3089,0.946
12.703297529,-0.9464,0.0978,0.2972,0.997
12.713634952,-0.9777,0.1017,0.2934,1.026
12.723956067,-0.9777,0.1329,0.2737,1.024
12.733998952,-1.0051,0.1408,0.2855,1.054
12.74428626,-0.9973,0.1134,0.2934,1.046
