time,gFx,gFy,gFz,TgF
31.670666824,-0.8917,0.1096,0.4068,0.986
31.677847862,-0.8838,0.1329,0.4537,1.002
31.687967131,-0.8682,0.1408,0.4849,1.004
31.698203554,-0.8486,0.1291,0.5006,0.994
31.709027901,-0.8251,0.1291,0.5045,0.976
31.718818324,-0.8448,0.1291,0.5006,0.990
31.729014862,-0.8408,0.1329,0.4810,0.978
31.738793054,-0.8682,0.1329,0.4889,1.005
31.749157708,-0.8760,0.1134,0.4810,1.006
31.758683901,-0.8721,0.1369,0.4693,1.000
31.769132862,-0.8526,0.1369,0.4772,0.987
31.779248862,-0.8682,0.1173,0.4810,0.999
31.789562747,-0.8565,0.1173,0.4772,0.987
31.799166208,-0.8565,0.1212,0.4810,0.990
31.809475516,-0.8565,0.1134,0.4810,0.989
31.819636747,-0.8408,0.1056,0.4967,0.982
31.829202285,-0.8760,0.1173,0.4889,1.010
31.842438477,-0.8721,0.1369,0.4927,1.011
31.849570093,-0.9034,0.1173,0.4967,1.038
31.860124939,-0.9034,0.1251,0.4810,1.031
31.871061516,-0.9034,0.1056,0.4654,1.022
31.880652516,-0.8682,0.1291,0.4772,0.999
31.890707016,-0.8526,0.1291,0.4732,0.984
31.901326977,-0.8448,0.1251,0.4889,0.984
31.910807323,-0.8486,0.1329,0.4849,0.986
31.921787093,-0.8486,0.1329,0.4810,0.984
31.931368939,-0.8603,0.1056,0.4889,0.995
31.941423862,-0.8486,0.1251,0.4849,0.985
31.951750247,-0.8448,0.1291,0.5006,0.990
31.96130167,-0.8526,0.1291,0.4889,0.991
31.974755516,-0.8643,0.1486,0.4889,1.004
31.981436708,-0.8682,0.1251,0.4889,1.004
31.992003747,-0.8408,0.1251,0.4772,0.975
32.002186131,-0.8486,0.1408,0.4889,0.989
32.011575785,-0.8603,0.1212,0.4732,0.989
32.022693823,-0.8760,0.1173,0.4927,1.012
32.032357516,-0.8682,0.1251,0.4849,1.002
32.0426099,-0.8603,0.1291,0.4927,1.000
32.052937285,-0.8603,0.1369,0.4849,0.997
32.063060631,-0.8408,0.1446,0.4772,0.978
32.072915477,-0.8682,0.1369,0.4889,1.006
32.083291708,-0.8643,0.1291,0.4889,1.001
32.093001477,-0.8682,0.1251,0.4889,1.004
32.107354862,-0.8526,0.1251,0.4889,0.991
32.113478208,-0.8838,0.1408,0.4889,1.020
32.1235734,-0.8838,0.1369,0.4889,1.019
32.1340324,-0.8448,0.1251,0.4732,0.976
32.144142708,-0.8682,0.1369,0.4732,0.998
32.154412323,-0.8643,0.1369,0.4654,0.991
32.164572054,-0.8603,0.1173,0.4967,1.000
32.174653016,-0.8213,0.1408,0.5124,0.978
32.185252477,-0.8486,0.1486,0.4849,0.989
32.194288785,-0.8526,0.1329,0.4927,0.994
32.205106131,-0.8369,0.1251,0.4810,0.973
32.2149934,-0.8486,0.1329,0.4849,0.986
32.224832631,-0.8291,0.1408,0.4810,0.969
32.235340862,-0.8565,0.1291,0.4654,0.983
32.245089862,-0.8565,0.1134,0.4889,0.993
