time,gFx,gFy,gFz,TgF
31.423227285,-0.8917,-0.0078,0.3676,0.965
31.432830939,-0.9152,0.0000,0.3871,0.994
31.44842717,-0.9425,-0.0235,0.3716,1.013
31.453369439,-0.9152,-0.0040,0.3676,0.986
31.463724362,-0.9347,-0.0157,0.3636,1.003
31.473463516,-0.9307,-0.0157,0.3636,0.999
31.483709632,-0.9190,0.0040,0.3754,0.993
31.494878247,-0.9190,0.0040,0.3793,0.994
31.503904285,-0.9190,0.0117,0.3676,0.990
31.514615401,-0.9307,-0.0040,0.3636,0.999
31.524880632,-0.9307,-0.0040,0.3676,1.001
31.53465517,-0.9190,-0.0078,0.3716,0.991
31.546470439,-0.9112,-0.0117,0.3636,0.981
31.554349093,-0.9152,0.0000,0.3716,0.988
31.564767593,-0.9347,-0.0117,0.3676,1.004
31.576730978,-0.9386,0.0078,0.3559,1.004
31.585521401,-0.9112,-0.0117,0.3676,0.983
31.594778324,-0.9112,-0.0078,0.3598,0.980
31.605615362,-0.8995,0.0000,0.3559,0.967
31.615170631,-0.9230,0.0117,0.3636,0.992
31.626229516,-0.9504,0.0078,0.3636,1.018
31.635841247,-0.9269,0.0157,0.3519,0.992
31.646049247,-0.9347,-0.0078,0.3559,1.000
31.656236285,-0.9269,0.0040,0.3559,0.993
31.666043593,-0.9112,0.0157,0.3716,0.984
31.676542324,-0.9112,0.0195,0.3636,0.981
31.686413593,-0.9112,0.0235,0.3636,0.981
31.696617862,-0.9073,0.0235,0.3676,0.979
31.708440785,-0.9152,0.0195,0.3598,0.984
31.716845362,-0.9112,0.0274,0.3636,0.981
31.726960939,-0.9190,0.0274,0.3519,0.984
31.737017785,-0.9347,0.0430,0.3481,0.998
31.746906554,-0.9269,0.0235,0.3364,0.986
31.757466631,-0.9269,0.0274,0.3519,0.992
31.767560939,-0.9582,0.0312,0.3636,1.025
31.777494324,-0.9425,0.0274,0.3598,1.009
31.787778747,-0.9464,0.0195,0.3598,1.013
31.797599708,-0.9621,0.0000,0.3598,1.027
31.807851593,-0.9425,-0.0040,0.3519,1.006
31.818347824,-0.9307,0.0117,0.3676,1.001
31.828069362,-0.9347,0.0078,0.3716,1.006
31.838559824,-0.9386,0.0000,0.3716,1.010
31.848461747,-0.9386,0.0157,0.3676,1.008
31.858472131,-0.9230,0.0078,0.3833,0.999
31.868829439,-0.9425,0.0195,0.3793,1.016
31.878335631,-0.9347,0.0078,0.3716,1.006
31.889204939,-0.9307,0.0078,0.3871,1.008
31.899414747,-0.9659,0.0235,0.3950,1.044
31.909407516,-0.9699,0.0195,0.3793,1.042
31.919426862,-0.9464,0.0195,0.3716,1.017
31.929859824,-0.9621,0.0157,0.3716,1.031
31.942499939,-0.9699,0.0157,0.3793,1.042
31.949838747,-0.9621,0.0195,0.3833,1.036
31.959754016,-0.9542,0.0195,0.3833,1.028
31.969860977,-0.9739,0.0195,0.3950,1.051
31.980473823,-0.9621,-0.0078,0.3716,1.031
31.990153208,-1.0011,-0.0117,0.3716,1.068
32.000475862,-1.0168,-0.0117,0.3559,1.077
32.010375554,-1.0207,-0.0195,0.3519,1.080
32.020953823,-1.0246,-0.0312,0.3324,1.078
32.03073567,-1.0324,-0.0352,0.3168,1.080
32.040532016,-1.0324,-0.0587,0.2855,1.073
32.051181516,-1.0286,-0.0469,0.2816,1.067
32.061043016,-1.0011,-0.0665,0.2620,1.037
32.070909977,-0.9699,-0.0665,0.2659,1.008
32.081324477,-0.9190,-0.0821,0.2425,0.954
32.091337477,-0.8643,-0.0782,0.2425,0.901
32.101558323,-0.7666,-0.0704,0.2151,0.799
32.1116124,-0.7352,-0.0312,0.2503,0.777
32.121573439,-0.6922,0.0000,0.2777,0.746
32.132524016,-0.6805,0.0078,0.3011,0.744
32.141616246,-0.6687,-0.0117,0.3089,0.737
32.1528944,-0.6844,-0.0626,0.2464,0.730
32.162177054,-0.7274,-0.1291,0.1681,0.758
32.172204131,-0.7392,-0.1643,0.1096,0.765
32.183152746,-0.7704,-0.1721,0.1408,0.802
32.193237439,-0.8330,-0.1878,0.2268,0.884
32.202388785,-0.9112,-0.1329,0.3051,0.970
32.213244516,-0.9425,-0.0939,0.3793,1.020
32.2231599,-0.9777,-0.0861,0.4223,1.068
32.233493708,-1.0129,-0.0626,0.4420,1.107
32.243661169,-1.0481,-0.0861,0.4458,1.142
32.253386669,-1.1107,-0.0509,0.4537,1.201
32.263759708,-1.1263,-0.0509,0.4537,1.215
32.273384169,-1.1732,-0.0469,0.4068,1.243
32.284888477,-1.1263,-0.0312,0.3833,1.190
32.293831323,-1.0950,0.0000,0.3833,1.160
32.304306285,-1.0559,-0.0195,0.4106,1.133
32.314523669,-1.0051,-0.0157,0.3989,1.081
32.324514016,-0.9934,-0.0078,0.3833,1.065
32.337141246,-0.9112,-0.0117,0.3636,0.981
32.344467054,-0.8408,-0.0040,0.3754,0.921
32.355152092,-0.7548,-0.0157,0.3636,0.838
32.3652934,-0.7235,-0.0274,0.3716,0.814
32.375142016,-0.6844,-0.0195,0.3598,0.774
32.3847799,-0.6492,-0.0352,0.3598,0.743
32.395725516,-0.6296,-0.0469,0.3636,0.729
32.406069323,-0.6375,-0.0469,0.3598,0.734
32.416337131,-0.6413,-0.0821,0.3207,0.722
32.426030477,-0.6335,-0.1096,0.3168,0.717
32.436124169,-0.6453,-0.1096,0.3364,0.736
32.446283669,-0.6531,-0.1017,0.3364,0.742
32.455774246,-0.6883,-0.0821,0.3207,0.764
32.466772515,-0.7040,-0.0821,0.3286,0.781
32.476937862,-0.7157,-0.0744,0.3402,0.796
32.486771862,-0.7117,-0.0744,0.3324,0.789
32.497543977,-0.7314,-0.0861,0.3364,0.810
32.506839708,-0.7274,-0.0704,0.3286,0.801
32.516926862,-0.7431,-0.0899,0.3324,0.819
32.527082131,-0.7392,-0.0899,0.3402,0.819
32.537247977,-0.7235,-0.0899,0.3324,0.801
32.550745823,-0.7509,-0.0978,0.3207,0.822
32.5574784,-0.7744,-0.0821,0.3324,0.847
32.567432862,-0.7274,-0.0899,0.3716,0.822
32.578246169,-0.7431,-0.1056,0.3754,0.839
32.588076708,-0.8173,-0.1173,0.3636,0.902
32.598194285,-0.8800,-0.1486,0.3364,0.954
32.608416938,-0.9816,-0.1603,0.2855,1.035
32.6186154,-1.0911,-0.1798,0.1721,1.119
32.6285434,-1.1694,-0.1603,0.0744,1.183
32.638943054,-1.2788,-0.1995,0.0000,1.294
32.651872785,-1.3062,-0.2033,0.0392,1.323
32.658827438,-1.3258,-0.1838,0.0509,1.339
32.669051092,-1.3218,-0.1446,0.0587,1.331
32.679917169,-1.3023,-0.0782,0.0861,1.307
32.689774977,-1.2593,-0.0352,0.0665,1.262
32.699470361,-1.2279,-0.0117,0.0626,1.230
32.710251246,-1.2593,0.0195,0.1056,1.264
32.719367669,-1.3023,0.0626,0.2112,1.321
32.729717554,-1.3962,0.0939,0.3286,1.437
32.740127477,-1.4469,0.0978,0.3636,1.495
32.750066284,-1.4939,0.0469,0.3402,1.533
32.760518515,-1.4666,-0.0040,0.3441,1.506
32.770513323,-1.4978,-0.0040,0.3793,1.545
32.781411515,-1.4079,0.0040,0.3793,1.458
32.790986015,-1.2866,0.0195,0.4145,1.352
32.8012094,-1.0950,0.0157,0.4185,1.172
32.811857092,-0.9894,0.0430,0.3911,1.065
32.820764977,-0.8134,0.0469,0.3716,0.895
32.830676631,-0.7000,0.0352,0.3324,0.776
32.841621592,-0.6218,0.0352,0.3207,0.701
32.851340015,-0.5944,0.0235,0.2542,0.647
32.861816438,-0.5592,0.0040,0.1995,0.594
32.871709131,-0.5671,0.0000,0.1603,0.589
32.881906246,-0.5827,0.0157,0.1134,0.594
32.892104092,-0.5944,0.0157,0.0899,0.601
32.902271284,-0.6218,0.0078,0.0626,0.625
32.912119861,-0.6413,0.0352,0.0704,0.646
32.922717169,-0.6570,0.0587,0.0939,0.666
32.932559131,-0.7040,0.0939,0.1251,0.721
32.946403592,-0.7469,0.1056,0.1760,0.775
32.9527074,-0.7861,0.1056,0.2112,0.821
32.9626584,-0.8251,0.1096,0.2542,0.870
32.972824169,-0.8448,0.0899,0.2659,0.890
32.982719746,-0.8134,0.0626,0.2620,0.857
32.993843861,-0.7861,0.0352,0.2425,0.823
33.003372938,-0.7314,0.0195,0.2307,0.767
33.013096246,-0.7235,0.0195,0.2464,0.765
33.02356013,-0.7079,0.0509,0.2816,0.764
33.033998169,-0.7040,0.0587,0.2816,0.760
33.045893361,-0.7235,0.1096,0.3011,0.791
33.054242553,-0.7352,0.1096,0.2972,0.801
33.064135092,-0.7939,0.1329,0.2972,0.858
33.074554515,-0.8448,0.1291,0.3051,0.907
33.084721361,-0.8878,0.1643,0.3051,0.953
33.0945439,-0.9425,0.1291,0.3129,1.001
33.105172515,-1.0089,0.1096,0.3246,1.066
33.114929515,-1.0324,0.1173,0.3286,1.090
33.125056092,-1.0950,0.0978,0.2972,1.139
33.135007669,-1.1497,0.0587,0.2582,1.180
33.144979784,-1.1929,0.0274,0.1955,1.209
33.155934438,-1.2945,0.0040,0.1564,1.304
33.165652553,-1.3610,-0.0195,0.1369,1.368
33.175864246,-1.3962,-0.0626,0.1760,1.409
33.185994707,-1.4666,-0.0939,0.1721,1.480
33.1958969,-1.5173,-0.1291,0.1329,1.529
33.206118515,-1.5760,-0.1955,0.1056,1.592
33.216177323,-1.5135,-0.1995,0.0861,1.529
33.226001246,-1.3727,-0.2268,0.1134,1.396
33.236929207,-1.2319,-0.2230,0.1251,1.258
33.245979015,-1.0168,-0.2425,0.1603,1.058
33.256765823,-0.9386,-0.2855,0.2464,1.012
33.266976207,-0.9152,-0.2816,0.2972,1.003
33.277161438,-0.9230,-0.2855,0.3168,1.017
33.287247323,-1.0364,-0.2503,0.3716,1.129
33.297206015,-1.1732,-0.2190,0.4068,1.261
33.307523899,-1.2788,-0.2033,0.4615,1.375
33.317375361,-1.3805,-0.1486,0.5084,1.479
33.32771613,-1.4119,-0.1251,0.4927,1.501
33.337816515,-1.4157,-0.0978,0.4575,1.491
