time,gFx,gFy,gFz,TgF
59.242787149,-0.9230,-0.0040,0.3559,0.989
59.253099034,-0.8995,-0.0078,0.3636,0.970
59.263851226,-0.8995,-0.0157,0.3636,0.970
59.272821034,-0.9152,0.0000,0.3636,0.985
59.283471611,-0.9230,0.0117,0.3871,1.001
59.29283288,-0.9190,-0.0040,0.3871,0.997
59.303490573,-0.9230,0.0078,0.3833,0.999
59.319624534,-0.9425,0.0195,0.3871,1.019
59.324848034,-0.9582,0.0195,0.3754,1.029
59.341549919,-0.9269,0.0117,0.3676,0.997
59.343720457,-0.9504,0.0195,0.3793,1.023
59.357957303,-0.9504,0.0117,0.3754,1.022
59.374844188,-0.9307,0.0040,0.3676,1.001
59.37586988,-0.9347,0.0040,0.3754,1.007
59.389941342,-0.9230,0.0000,0.3950,1.004
59.395347419,-0.9190,-0.0117,0.3871,0.997
59.407555111,-0.9112,-0.0040,0.3793,0.987
59.422636496,-0.9230,0.0195,0.3871,1.001
59.424841957,-0.9152,0.0000,0.3833,0.992
59.441567188,-0.9307,0.0000,0.3793,1.005
59.456734726,-0.8995,0.0312,0.3793,0.977
59.457634534,-0.8955,0.0040,0.3754,0.971
59.473660226,-0.9307,0.0117,0.3676,1.001
59.475749688,-0.9307,0.0117,0.3716,1.002
59.489431226,-0.8995,0.0117,0.3636,0.970
59.506201688,-0.9386,0.0078,0.3793,1.012
59.507424342,-0.9190,0.0195,0.3636,0.989
59.522554457,-0.9190,0.0117,0.3636,0.988
59.526286303,-0.9230,0.0157,0.3559,0.989
59.540659842,-0.9230,0.0157,0.3598,0.991
59.55670788,-0.9347,0.0040,0.3676,1.004
59.557683495,-0.9425,0.0157,0.3441,1.003
59.573953649,-0.9464,0.0274,0.3481,1.009
59.588791842,-0.9034,0.0235,0.3481,0.968
59.589964342,-0.9112,0.0117,0.3481,0.976
59.606529495,-0.8955,0.0040,0.3402,0.958
59.607563726,-0.8955,-0.0312,0.3207,0.952
59.621252534,-0.8955,-0.0195,0.3286,0.954
59.637474995,-0.8995,-0.0195,0.3519,0.966
59.639419111,-0.9190,0.0040,0.3364,0.979
59.653972495,-0.9269,0.0000,0.3481,0.990
59.658293342,-0.9347,0.0040,0.3364,0.993
59.670888688,-0.9152,0.0040,0.3402,0.976
59.689394418,-0.9073,0.0195,0.3519,0.973
59.690600841,-0.9425,0.0195,0.3324,1.000
59.70521738,-0.9386,0.0117,0.3441,1.000
59.721524188,-0.9307,0.0078,0.3207,0.984
59.722623649,-0.9307,0.0000,0.3168,0.983
59.736463457,-0.9504,0.0078,0.3324,1.007
59.739208072,-0.9425,-0.0312,0.3246,0.997
59.753317649,-0.9699,-0.0235,0.3324,1.026
59.770130495,-0.9269,-0.0274,0.3168,0.980
59.771538957,-0.9112,-0.0547,0.2855,0.956
59.783069611,-0.8878,-0.0626,0.2894,0.936
59.789407995,-0.8917,-0.0861,0.2737,0.937
59.800615149,-0.8526,-0.0978,0.2464,0.893
59.820944072,-0.8721,-0.1173,0.2385,0.912
59.822033188,-0.8291,-0.1251,0.2659,0.880
59.835969303,-0.8565,-0.1408,0.2542,0.904
59.852197303,-0.8526,-0.1408,0.2699,0.905
59.853029803,-0.8603,-0.1643,0.2737,0.918
59.86824388,-0.9425,-0.1408,0.3364,1.011
59.870826111,-0.9269,-0.1486,0.3716,1.010
59.884166957,-0.9621,-0.1173,0.4106,1.053
59.90105988,-0.9739,-0.0939,0.4497,1.077
59.902779841,-0.9856,-0.0744,0.5006,1.108
59.918530687,-0.9856,-0.0626,0.5202,1.116
59.921741841,-1.0364,-0.0782,0.5241,1.164
59.935718111,-1.0403,-0.0626,0.5084,1.160
59.954067418,-1.0598,-0.0626,0.5358,1.189
59.955940841,-1.0598,-0.0587,0.5202,1.182
59.967236803,-1.0990,-0.0978,0.4889,1.207
59.984910457,-1.0950,-0.0978,0.4615,1.192
59.985881457,-1.1224,-0.0899,0.4106,1.199
59.999959726,-1.0911,-0.1017,0.3871,1.162
60.002806418,-1.0598,-0.0821,0.3676,1.125
60.016458418,-1.0324,-0.0821,0.3519,1.094
60.032679418,-0.9973,-0.0899,0.3246,1.053
60.034267072,-0.9542,-0.0821,0.3324,1.014
60.049433803,-0.8955,-0.0509,0.3286,0.955
60.052972687,-0.8526,-0.0430,0.3286,0.915
60.065815149,-0.7744,-0.0352,0.3402,0.847
60.082507649,-0.7392,-0.0312,0.3598,0.823
60.084276303,-0.7392,-0.0430,0.3519,0.820
60.10573061,-0.7469,-0.0587,0.3636,0.833
60.107128957,-0.7821,-0.0665,0.3598,0.864
60.113960649,-0.7861,-0.0899,0.3559,0.868
60.124504072,-0.7978,-0.1212,0.3481,0.879
60.134499533,-0.8369,-0.1173,0.3364,0.910
60.144903687,-0.8448,-0.1134,0.3441,0.919
60.155169572,-0.8448,-0.1251,0.3598,0.927
60.16446738,-0.8682,-0.1017,0.3716,0.950
60.174828995,-0.8721,-0.1134,0.3754,0.956
60.185126072,-0.9230,-0.1096,0.3676,0.999
60.194558649,-0.9386,-0.0939,0.3754,1.015
60.207487649,-0.9464,-0.0899,0.3871,1.026
60.214904533,-0.9542,-0.1056,0.3911,1.037
60.225250764,-0.9504,-0.0744,0.4106,1.038
60.235797341,-0.9425,-0.0861,0.4145,1.033
60.245541572,-0.9269,-0.0899,0.3950,1.012
60.255623418,-0.9269,-0.0899,0.3833,1.007
60.266054264,-0.9190,-0.0939,0.3833,1.000
60.276144572,-0.9073,-0.1096,0.3871,0.992
60.286421033,-0.9230,-0.0978,0.3833,1.004
60.296037572,-0.9112,-0.1056,0.3716,0.990
60.306301649,-0.9230,-0.1291,0.3793,1.006
60.316368379,-0.9269,-0.1173,0.3871,1.011
60.32626411,-0.9542,-0.1212,0.3871,1.037
60.341809956,-0.9621,-0.1369,0.3989,1.050
60.347078226,-0.9621,-0.1329,0.4068,1.053
60.357405918,-0.9699,-0.1291,0.4028,1.058
60.368289303,-0.9856,-0.1291,0.4106,1.075
60.377324033,-1.0089,-0.1173,0.4106,1.096
60.388615879,-1.0403,-0.1251,0.4028,1.123
60.397279495,-1.0364,-0.1603,0.3871,1.118
60.407850379,-1.0207,-0.1760,0.3950,1.109
60.418425264,-1.0207,-0.1681,0.4302,1.120
60.428287533,-1.0051,-0.1603,0.4380,1.108
60.438244572,-1.0520,-0.1369,0.4615,1.157
60.448484264,-1.1420,-0.1096,0.4927,1.249
60.458012918,-1.2749,-0.0978,0.4927,1.370
60.468132802,-1.3649,-0.0861,0.5006,1.456
60.478361995,-1.4157,-0.1486,0.4732,1.500
60.488821341,-1.4626,-0.1838,0.4106,1.530
60.499242226,-1.4236,-0.2855,0.3246,1.488
60.508984187,-1.4157,-0.3129,0.2033,1.464
60.519498456,-1.4119,-0.3246,0.1760,1.459
60.529641726,-1.3922,-0.3207,0.1838,1.440
60.539297225,-1.3570,-0.2737,0.1291,1.390
60.55005111,-1.2866,-0.1838,0.1251,1.306
60.560027264,-1.1889,-0.1329,0.0899,1.200
60.570168687,-1.0676,-0.1134,0.0235,1.074
60.580131418,-0.9269,-0.0978,-0.0157,0.932
60.589710072,-0.7704,-0.0899,-0.0430,0.777
60.600585418,-0.7157,-0.1329,-0.0587,0.730
60.610664995,-0.6687,-0.1329,-0.0861,0.687
60.621567225,-0.6687,-0.1291,-0.0899,0.687
60.630819225,-0.6687,-0.1134,-0.0821,0.683
60.640580341,-0.7000,-0.1056,-0.0274,0.708
60.65143111,-0.7469,-0.0939,0.0195,0.753
60.661048648,-0.7899,-0.0861,0.0547,0.796
60.671335456,-0.8408,-0.0704,0.0782,0.847
60.681944956,-0.9230,-0.0626,0.1017,0.931
60.69129111,-0.9425,-0.0782,0.1408,0.956
60.701496956,-1.0089,-0.0782,0.1526,1.023
60.712175418,-1.0207,-0.0782,0.1486,1.034
60.72172461,-1.0481,-0.0744,0.1526,1.062
60.731747879,-1.0246,-0.0744,0.1329,1.036
60.742419841,-0.9934,-0.0782,0.1955,1.015
60.752548302,-0.9621,-0.0782,0.1916,0.984
60.762663456,-0.9347,-0.0704,0.2033,0.959
60.772907456,-0.9034,-0.0587,0.1995,0.927
60.78279161,-0.8251,-0.0274,0.2151,0.853
60.793336187,-0.8096,-0.0352,0.2190,0.839
60.803001648,-0.7782,-0.0392,0.1798,0.800
60.814280379,-0.7666,-0.0430,0.2033,0.794
60.823325802,-0.7666,-0.0352,0.1878,0.790
60.833632071,-0.7704,-0.0274,0.1564,0.787
60.843521264,-0.7548,-0.0352,0.1643,0.773
60.853845571,-0.7587,-0.0352,0.1643,0.777
60.863937302,-0.7352,-0.0509,0.1798,0.759
60.873961725,-0.7196,-0.0626,0.1681,0.742
60.884091302,-0.7157,-0.0704,0.1526,0.735
60.894552687,-0.7274,-0.0704,0.1446,0.745
60.904728418,-0.7509,-0.0665,0.1329,0.765
60.914358956,-0.7469,-0.0782,0.1486,0.766
60.924515725,-0.7469,-0.0665,0.1603,0.767
60.934737994,-0.7704,-0.0782,0.1681,0.792
60.945870494,-0.7821,-0.0587,0.1564,0.800
60.954976379,-0.8056,-0.0665,0.1526,0.823
60.965096379,-0.8369,-0.0509,0.1446,0.851
60.975228417,-0.8096,-0.0274,0.1369,0.822
60.984880379,-0.8369,-0.0195,0.1564,0.852
60.995463648,-0.8448,-0.0235,0.1643,0.861
61.005775571,-0.8878,-0.0078,0.1838,0.907
61.015703533,-0.8721,0.0078,0.2425,0.905
61.026239725,-0.9307,0.0157,0.2582,0.966
61.036380071,-0.9739,0.0312,0.2972,1.019
61.046033379,-0.9934,0.0469,0.3286,1.047
61.056569225,-0.9777,0.0078,0.3011,1.023
61.066755033,-0.9464,0.0274,0.2699,0.985
61.077849648,-0.9699,0.0235,0.2230,0.995
61.086815187,-0.9504,0.0117,0.1955,0.970
61.096713648,-0.9621,-0.0040,0.1916,0.981
61.107019802,-0.9816,0.0312,0.2385,1.011
61.116638533,-1.0168,0.0274,0.2699,1.052
61.126914071,-1.0286,0.0392,0.2620,1.062
61.137512533,-1.0246,0.0235,0.2190,1.048
61.148001687,-1.0403,0.0312,0.2073,1.061
61.157899456,-1.0364,0.0312,0.2268,1.061
61.167814379,-1.0011,0.0392,0.2464,1.032
61.177722917,-1.0051,0.0509,0.2464,1.036
61.188438994,-0.9894,0.0430,0.2503,1.021
61.198560033,-1.0089,0.0312,0.2620,1.043
61.209618917,-1.0520,0.0704,0.3051,1.098
61.218555802,-1.0950,0.0626,0.2855,1.133
61.228793648,-1.1420,0.0626,0.2894,1.180
61.238953917,-1.2279,0.0626,0.2737,1.260
61.248877956,-1.2476,0.0235,0.2934,1.282
61.259179648,-1.2749,0.0040,0.3051,1.311
61.269213879,-1.2906,-0.0078,0.2855,1.322
61.279400917,-1.3101,0.0000,0.2542,1.335
61.289542071,-1.3375,0.0195,0.2855,1.368
61.299189302,-1.4119,0.0352,0.2855,1.441
61.309498879,-1.4274,0.0392,0.3011,1.459
61.319692648,-1.4587,0.0157,0.2894,1.487
61.329896648,-1.4666,-0.0312,0.2307,1.485
61.34079084,-1.4314,-0.0899,0.1798,1.445
61.349865725,-1.4469,-0.0978,0.1526,1.458
61.360354571,-1.3962,-0.0665,0.1173,1.403
61.370377802,-1.3258,-0.0430,0.0939,1.330
61.380505956,-1.1967,-0.0469,0.0782,1.200
61.390212956,-1.0755,-0.0782,0.0352,1.079
61.400394879,-1.0011,-0.0899,-0.0195,1.005
61.410632148,-0.9464,-0.0978,-0.0157,0.952
61.421173263,-0.7939,-0.1291,-0.0392,0.805
61.43076084,-0.7117,-0.1603,-0.0157,0.730
61.44282534,-0.6492,-0.2033,-0.0274,0.681
61.451290456,-0.6218,-0.2190,-0.0040,0.659
61.461514263,-0.5944,-0.2151,0.0235,0.633
61.472597994,-0.6101,-0.2112,0.0587,0.648
61.481626109,-0.6179,-0.1798,0.0899,0.650
61.491993956,-0.6531,-0.1955,0.1408,0.696
61.502086609,-0.6805,-0.1838,0.1721,0.726
61.512033109,-0.7392,-0.1486,0.1798,0.775
61.522116609,-0.8134,-0.1446,0.2307,0.858
61.532459879,-0.8408,-0.1017,0.2855,0.894
61.542905802,-0.9230,-0.0626,0.3129,0.977
61.552947225,-0.9659,-0.0587,0.3402,1.026
61.562967994,-1.0168,-0.0469,0.3519,1.077
61.57530584,-1.0286,-0.0352,0.3441,1.085
61.583222148,-1.0481,-0.0509,0.3324,1.101
61.59387584,-1.0441,-0.0899,0.3011,1.090
61.603626725,-1.0051,-0.0939,0.2816,1.048
61.613447532,-0.9542,-0.0978,0.2385,0.988
61.62448734,-0.9190,-0.0665,0.2033,0.944
61.633794032,-0.8173,-0.0665,0.1526,0.834
61.644161263,-0.7744,-0.0547,0.1446,0.790
61.654129032,-0.7196,-0.0352,0.1446,0.735
61.664660494,-0.6844,-0.0392,0.1526,0.702
61.674868109,-0.6610,-0.0352,0.1329,0.675
61.684887648,-0.6453,-0.0274,0.1486,0.663
61.694300609,-0.6492,-0.0274,0.1564,0.668
61.708440186,-0.6531,-0.0235,0.1526,0.671
61.714983455,-0.6453,-0.0352,0.1564,0.665
61.725215725,-0.6687,-0.0274,0.1603,0.688
61.736380994,-0.7079,-0.0509,0.1878,0.734
61.744971378,-0.7314,-0.0744,0.2190,0.767
61.755550571,-0.7548,-0.0469,0.2347,0.792
61.765449571,-0.8056,-0.0744,0.2347,0.842
61.775621725,-0.8369,-0.0704,0.2699,0.882
61.78568334,-0.8603,-0.0782,0.2972,0.914
61.796355109,-0.8995,-0.0939,0.3089,0.956
61.806368686,-0.9386,-0.1251,0.3324,1.004
61.816784648,-0.9542,-0.1291,0.3286,1.017
61.826497763,-0.9934,-0.1486,0.3441,1.062
61.837083494,-0.9934,-0.1486,0.3168,1.053
61.846831532,-0.9856,-0.1526,0.2816,1.036
61.857038186,-1.0011,-0.1760,0.3051,1.061
61.868524301,-1.0011,-0.1681,0.3129,1.062
61.876661032,-1.0286,-0.1486,0.3324,1.091
61.887402263,-0.9894,-0.1564,0.3286,1.054
61.897734763,-0.9816,-0.1369,0.3364,1.047
61.907395186,-0.9856,-0.1251,0.3481,1.053
61.917495994,-1.0089,-0.1251,0.3481,1.075
61.927884301,-1.0011,-0.1329,0.3559,1.071
61.938143878,-0.9739,-0.1134,0.3676,1.047
61.948402994,-0.9699,-0.1446,0.3871,1.054
61.958222148,-0.9425,-0.1096,0.3833,1.023
61.967696648,-0.9504,-0.1291,0.3636,1.026
61.978818571,-0.9073,-0.1408,0.3559,0.985
61.988468378,-0.9112,-0.1408,0.3754,0.996
61.998860994,-0.9269,-0.1212,0.3950,1.015
62.009197032,-0.9464,-0.1134,0.3950,1.032
62.018903648,-0.9347,-0.0978,0.3989,1.021
62.029155417,-0.9582,-0.0939,0.3989,1.042
62.038839455,-0.9582,-0.0626,0.3833,1.034
62.049247994,-1.0051,-0.0469,0.3833,1.077
62.059330301,-1.0286,-0.0157,0.3519,1.087
62.069498378,-1.0559,-0.0312,0.3246,1.105
62.08029384,-1.0716,-0.0665,0.2777,1.109
62.089650609,-1.0676,-0.0744,0.3051,1.113
62.102385224,-1.0950,-0.0587,0.3559,1.153
62.110112609,-1.1654,-0.0899,0.4537,1.254
62.119998032,-1.1849,-0.1056,0.5319,1.303
62.131949609,-1.2124,-0.1369,0.5124,1.323
62.140603686,-1.2906,-0.1643,0.4341,1.371
62.150880801,-1.3453,-0.2112,0.3754,1.413
62.161122224,-1.4509,-0.2737,0.2699,1.501
62.170897801,-1.5370,-0.3286,0.2112,1.586
62.181350878,-1.5448,-0.3441,0.2190,1.598
