time,gFx,gFy,gFz,TgF
51.834521079,-0.9739,-0.0978,0.2934,1.022
51.838131925,-0.9739,-0.0899,0.2816,1.018
51.848217502,-0.9542,-0.0861,0.2894,1.001
51.861165578,-0.9739,-0.1096,0.2659,1.015
51.868758809,-0.9699,-0.0978,0.2582,1.008
51.878883809,-0.9582,-0.1096,0.2699,1.001
51.888786925,-0.9621,-0.1134,0.2777,1.008
51.898755694,-0.9659,-0.0861,0.2737,1.008
51.909093425,-0.9621,-0.0782,0.2816,1.006
51.919682078,-0.9659,-0.0899,0.2699,1.007
51.929498925,-0.9464,-0.1056,0.2464,0.984
51.940761886,-0.9190,-0.1096,0.2659,0.963
51.949911463,-0.9464,-0.0978,0.2542,0.985
51.960010194,-0.9542,-0.0939,0.2659,0.995
51.970074578,-0.9582,-0.0744,0.2620,0.996
51.979782501,-0.9582,-0.1056,0.2699,1.001
51.993627348,-0.9425,-0.1056,0.2620,0.984
52.00003004,-0.9504,-0.0861,0.2542,0.988
52.011064463,-0.9699,-0.1056,0.2620,1.010
52.021405271,-0.9739,-0.0899,0.2737,1.016
52.031508001,-0.9582,-0.0899,0.2659,0.998
52.041505694,-0.9582,-0.0899,0.2737,1.001
52.051496078,-0.9621,-0.0939,0.2816,1.007
52.061158232,-0.9542,-0.0939,0.2582,0.993
52.072252001,-0.9386,-0.0899,0.2425,0.974
52.081951078,-0.9269,-0.0978,0.2582,0.967
52.091966732,-0.9386,-0.0978,0.2503,0.976
52.102389963,-0.9582,-0.1017,0.2464,0.995
52.112235771,-0.9582,-0.0978,0.2582,0.997
52.123171655,-0.9542,-0.1017,0.2503,0.992
52.133041463,-0.9307,-0.1017,0.2425,0.967
52.142391694,-0.9542,-0.0861,0.2542,0.991
52.152822232,-0.9504,-0.0861,0.2112,0.977
52.162384194,-0.9621,-0.0899,0.2190,0.991
52.172864001,-0.9464,-0.1017,0.2112,0.975
52.183218847,-0.9386,-0.0821,0.2230,0.968
52.192710232,-0.9034,-0.1056,0.2151,0.935
52.204492117,-0.9307,-0.0978,0.2307,0.964
52.213568732,-0.9504,-0.0978,0.2385,0.985
52.223663424,-0.9621,-0.1056,0.2190,0.992
52.233873886,-0.9582,-0.0978,0.2307,0.990
52.243909694,-0.9777,-0.1096,0.2307,1.010
52.254459847,-0.9894,-0.0978,0.2503,1.025
52.264285232,-1.0051,-0.1017,0.2777,1.048
52.274464232,-0.9856,-0.0978,0.2737,1.028
52.28463804,-0.9816,-0.1212,0.2620,1.023
52.294258155,-0.9816,-0.1096,0.2659,1.023
52.304858963,-0.9973,-0.0978,0.2425,1.031
52.314904309,-0.9621,-0.0899,0.2464,0.997
52.324571309,-0.9739,-0.0821,0.2542,1.010
52.335517809,-0.9777,-0.0939,0.2699,1.019
52.345197117,-0.9973,-0.1017,0.2737,1.039
52.355054386,-0.9739,-0.1017,0.2425,1.009
52.365268886,-0.9659,-0.0978,0.2542,1.004
52.375429655,-0.9739,-0.1056,0.2425,1.009
52.386126386,-0.9699,-0.0978,0.2737,1.013
52.396434655,-0.9621,-0.1212,0.2620,1.004
52.405624924,-0.9504,-0.1056,0.2385,0.986
52.416425078,-0.9699,-0.1212,0.2190,1.002
52.426306732,-0.9894,-0.1056,0.2425,1.024
52.436546924,-0.9816,-0.1017,0.2347,1.014
52.44685427,-0.9934,-0.1173,0.2464,1.030
52.456300347,-0.9894,-0.1212,0.2464,1.027
52.467793117,-0.9699,-0.1056,0.2425,1.005
52.47704727,-0.9582,-0.1096,0.2385,0.993
52.48716527,-0.9504,-0.1173,0.2464,0.989
52.497020463,-0.9347,-0.1173,0.2464,0.974
52.507193886,-0.9386,-0.1212,0.2112,0.970
52.517825001,-0.9699,-0.1173,0.2268,1.003
52.52746104,-0.9582,-0.0978,0.2073,0.985
52.537452693,-0.9269,-0.0978,0.2033,0.954
52.548279732,-0.9230,-0.1173,0.1955,0.951
52.557330616,-0.9112,-0.1251,0.1955,0.940
52.567966578,-0.9307,-0.1173,0.1878,0.957
52.578204116,-0.9464,-0.1291,0.1878,0.973
