time,gFx,gFy,gFz,TgF
19.123435986,-0.8838,0.0195,0.4458,0.990
19.129111371,-0.8838,-0.0040,0.4615,0.997
19.139441948,-0.8878,-0.0117,0.4575,0.999
19.149142563,-0.8800,0.0000,0.4380,0.983
19.160063948,-0.8526,0.0117,0.4302,0.955
19.169547294,-0.8760,0.0117,0.4263,0.974
19.179902871,-0.8643,0.0157,0.4497,0.974
19.189753486,-0.8760,0.0157,0.4458,0.983
19.199879871,-0.8800,0.0078,0.4223,0.976
19.210185563,-0.8721,0.0195,0.4537,0.983
19.219982332,-0.8603,0.0117,0.4458,0.969
19.22995214,-0.8917,0.0078,0.4380,0.994
19.240455024,-0.8760,-0.0078,0.4458,0.983
19.250078871,-0.8760,-0.0235,0.4537,0.987
19.26137764,-0.8838,0.0078,0.4420,0.988
19.270658524,-0.8917,-0.0078,0.4458,0.997
19.28070314,-0.8760,0.0157,0.4575,0.988
19.291637832,-0.8955,-0.0040,0.4420,0.999
19.301486794,-0.8917,0.0000,0.4263,0.988
19.311241409,-0.8838,-0.0040,0.4302,0.983
19.321728294,-0.8760,-0.0078,0.4068,0.966
19.33183914,-0.8800,-0.0078,0.4028,0.968
19.345643486,-0.8643,0.0000,0.4145,0.959
19.352071178,-0.8526,0.0195,0.4145,0.948
19.361997294,-0.8838,0.0195,0.4341,0.985
19.37265164,-0.8800,0.0235,0.4458,0.987
19.382457678,-0.8721,0.0235,0.4537,0.983
19.393021832,-0.8682,0.0274,0.4263,0.968
19.403115486,-0.8760,0.0078,0.4106,0.967
19.412662794,-0.8800,0.0117,0.3950,0.965
19.423057755,-0.8721,0.0000,0.3989,0.959
19.433116986,-0.8878,0.0078,0.3911,0.970
19.446076178,-0.8878,0.0157,0.3989,0.973
19.453187986,-0.8603,0.0157,0.4341,0.964
19.46342687,-0.8917,0.0117,0.4497,0.999
19.474118217,-0.9152,0.0235,0.4654,1.027
19.484026678,-0.8955,0.0392,0.4575,1.006
19.49377237,-0.8721,0.0312,0.4575,0.985
19.504211755,-0.8369,0.0274,0.4537,0.952
19.51425164,-0.8369,-0.0078,0.4458,0.948
19.524530447,-0.8291,-0.0040,0.4575,0.947
19.534514447,-0.9386,0.0078,0.4380,1.036
19.544441563,-0.9542,0.0040,0.4341,1.048
19.554317793,-0.9112,0.0117,0.4380,1.011
19.564436524,-0.8878,0.0157,0.4223,0.983
19.574638447,-0.8565,0.0195,0.4341,0.960
19.584647447,-0.8369,0.0117,0.4380,0.945
19.594908332,-0.8369,0.0195,0.4458,0.948
19.60566064,-0.8760,0.0157,0.4068,0.966
19.615572063,-0.8838,0.0078,0.4106,0.975
19.625178793,-0.8800,0.0000,0.4145,0.973
19.635734601,-0.8448,-0.0195,0.4068,0.938
19.645830947,-0.8838,-0.0195,0.3911,0.967
19.656732601,-0.8721,-0.0235,0.3833,0.953
19.666198986,-0.9152,-0.0157,0.3833,0.992
19.675899178,-0.9034,-0.0274,0.3911,0.985
19.686739563,-0.8995,-0.0117,0.3716,0.973
19.696607755,-0.9112,-0.0235,0.3636,0.981
19.706753601,-0.9190,-0.0547,0.3598,0.988
