time,gFx,gFy,gFz,TgF
43.485544045,-0.9307,-0.0352,0.3636,1.000
43.486309853,-0.9425,-0.0509,0.3598,1.010
43.495838468,-0.9269,-0.0587,0.3598,0.996
43.508466507,-0.9386,-0.0665,0.3833,1.016
43.516157853,-0.9230,-0.0626,0.3676,0.995
43.526022122,-0.9347,-0.0509,0.3716,1.007
43.536441007,-0.9190,-0.0626,0.3754,0.995
43.546628276,-0.9230,-0.0274,0.3754,0.997
43.556827161,-0.9073,-0.0392,0.3676,0.980
43.567040815,-0.9425,-0.0352,0.3754,1.015
43.576601738,-0.9307,-0.0392,0.3754,1.004
43.587745468,-0.9386,-0.0509,0.3754,1.012
43.597448122,-0.9230,-0.0392,0.3754,0.997
43.607496814,-0.9386,-0.0430,0.3676,1.009
43.617461468,-0.9307,-0.0117,0.3716,1.002
43.627535968,-0.9425,-0.0626,0.3754,1.016
43.63977843,-0.9347,-0.0509,0.3676,1.006
43.647277814,-0.9190,-0.0587,0.3676,0.992
43.657934314,-0.9386,-0.0352,0.3559,1.004
43.668235507,-0.9190,-0.0509,0.3598,0.988
43.678325314,-0.9073,-0.0547,0.3676,0.980
43.688361507,-0.9307,-0.0312,0.3754,1.004
43.698776314,-0.9269,-0.0392,0.3793,1.002
43.708549853,-0.9269,-0.0352,0.3676,0.998
43.718747507,-0.9464,-0.0469,0.3754,1.019
43.729009007,-0.9386,-0.0274,0.3716,1.010
43.739203699,-0.9386,-0.0587,0.3754,1.013
43.749337468,-0.9504,-0.0509,0.3636,1.019
43.759208776,-0.9504,-0.0626,0.3716,1.022
43.769605622,-0.9582,-0.0509,0.3716,1.029
43.780008699,-0.9464,-0.0392,0.3793,1.020
43.789464853,-0.9504,-0.0665,0.3833,1.027
43.800626584,-0.9621,-0.0665,0.3716,1.034
43.81046266,-0.9777,-0.0704,0.3716,1.048
43.820079853,-0.9659,-0.0821,0.3793,1.041
43.830577622,-0.9777,-0.0469,0.3716,1.047
43.840086776,-0.9816,-0.0430,0.3598,1.046
43.85029716,-0.9856,-0.0509,0.3598,1.050
43.860434891,-0.9934,-0.0469,0.3402,1.051
43.870642314,-0.9816,-0.0352,0.3286,1.036
43.88114366,-1.0168,-0.0430,0.3286,1.069
43.89098643,-1.0129,-0.0547,0.2816,1.053
43.901039314,-1.0089,-0.0430,0.2894,1.050
43.911010737,-0.9894,-0.0274,0.2894,1.031
43.921968468,-0.9582,-0.0469,0.2464,0.990
43.93147566,-0.9230,-0.0274,0.1916,0.943
