time,gFx,gFy,gFz,TgF
46.493763351,-0.9190,-0.0704,0.3011,0.970
46.499251736,-0.9386,-0.0899,0.3051,0.991
46.508328928,-0.9269,-0.0782,0.3324,0.988
46.51786362,-0.9307,-0.0821,0.3364,0.993
46.52868012,-0.9190,-0.0861,0.3402,0.984
46.538631774,-0.9542,-0.0939,0.3246,1.012
46.548729236,-0.9582,-0.1017,0.2934,1.007
46.559164082,-0.9504,-0.0861,0.2699,0.992
46.568847082,-0.9659,-0.0939,0.2699,1.007
46.579130582,-0.9464,-0.1017,0.2972,0.997
46.589512043,-0.9347,-0.0939,0.3207,0.993
46.598986005,-0.9425,-0.0821,0.3246,1.000
46.609580351,-0.9464,-0.0939,0.3364,1.009
46.619375659,-0.9386,-0.0861,0.3168,0.994
46.629871928,-0.9386,-0.0899,0.3246,0.997
46.63991862,-0.9582,-0.0782,0.3129,1.011
46.650754774,-0.9307,-0.0899,0.3089,0.985
46.66004712,-0.9621,-0.0899,0.3089,1.014
46.669857274,-0.9542,-0.0899,0.2816,0.999
46.680918466,-0.9504,-0.0744,0.2894,0.996
46.690228774,-0.9307,-0.0899,0.2934,0.980
46.700309274,-0.9542,-0.0899,0.3011,1.005
46.710700889,-0.9152,-0.0899,0.2894,0.964
46.720450697,-0.9347,-0.1096,0.2894,0.985
46.730926158,-0.9386,-0.0978,0.3051,0.992
46.741236274,-0.9582,-0.0821,0.2894,1.004
46.750872197,-0.9542,-0.0861,0.2777,0.998
46.761298389,-0.9542,-0.0861,0.2777,0.998
46.771315005,-0.9386,-0.0782,0.2620,0.978
46.783042389,-0.9582,-0.0821,0.2816,1.002
46.792296966,-0.9425,-0.0704,0.2855,0.987
46.801974389,-0.9386,-0.0665,0.2777,0.981
46.812166774,-0.9425,-0.0821,0.2972,0.992
46.822182774,-0.9386,-0.0782,0.2855,0.984
46.832439235,-0.9347,-0.0899,0.2894,0.983
46.842825312,-0.9347,-0.0861,0.2855,0.981
46.852737235,-0.9464,-0.0861,0.2855,0.992
46.862663966,-0.9464,-0.0821,0.2894,0.993
46.873211235,-0.9504,-0.0978,0.3011,1.002
46.883105274,-0.9386,-0.0978,0.3168,0.995
46.894432428,-0.9542,-0.1173,0.3051,1.009
46.903533428,-0.9152,-0.1096,0.2855,0.965
46.913373889,-0.9621,-0.1017,0.2464,0.998
46.923646504,-0.9739,-0.1017,0.2425,1.009
46.933529312,-0.9582,-0.1056,0.1995,0.984
46.944297312,-0.9894,-0.0978,0.2934,1.037
46.954331081,-0.9894,-0.0939,0.3364,1.049
46.964254428,-0.9894,-0.0782,0.3364,1.048
46.974198581,-0.9934,-0.0704,0.3129,1.044
46.984502081,-0.9777,-0.0626,0.2894,1.022
46.994327504,-0.9659,-0.0782,0.2699,1.006
47.004813274,-0.9582,-0.0509,0.2816,1.000
47.015034504,-0.9347,-0.0665,0.2464,0.969
47.025006081,-0.9269,-0.0626,0.2737,0.969
47.035161504,-0.9307,-0.0469,0.2737,0.971
47.045052889,-0.9464,-0.0469,0.2737,0.986
47.055509274,-0.9464,-0.0312,0.2777,0.987
47.065583081,-0.9699,-0.0509,0.2620,1.006
47.080932889,-0.9894,0.0000,0.2542,1.022
47.086039889,-0.9894,0.0000,0.2464,1.020
47.095398235,-0.9777,0.0000,0.2464,1.008
47.105599889,-0.9934,-0.0040,0.2620,1.027
47.11573912,-0.9777,-0.0195,0.2699,1.014
47.125985504,-0.9739,-0.0235,0.2737,1.012
47.136282581,-0.9464,-0.0157,0.2737,0.985
47.146009235,-0.9425,-0.0157,0.2542,0.976
47.156188889,-0.9621,0.0117,0.2464,0.993
47.166328197,-0.9386,0.0078,0.2659,0.976
47.176954158,-0.9112,0.0274,0.2659,0.950
47.186974197,-0.9190,0.0509,0.2542,0.955
47.197062466,-0.9269,0.0312,0.2503,0.961
47.211410927,-0.9347,0.0469,0.2268,0.963
47.217364697,-0.9269,0.0704,0.2347,0.959
47.22753435,-0.9739,0.0665,0.2190,1.000
47.237788466,-1.0051,0.0782,0.1995,1.028
47.247656697,-1.0441,0.0430,0.2347,1.071
47.257294658,-1.0246,0.0392,0.2151,1.048
47.26774335,-1.0324,0.0235,0.2347,1.059
47.277973543,-1.0168,0.0000,0.2855,1.056
47.288150273,-1.0089,-0.0117,0.2894,1.050
47.298739466,-1.0089,-0.0312,0.2934,1.051
47.308632697,-1.0168,-0.0587,0.2972,1.061
47.319013466,-0.9739,-0.0665,0.2659,1.012
47.328938927,-0.9542,-0.0509,0.2699,0.993
47.339644889,-0.9269,-0.0587,0.2934,0.974
47.349044773,-0.9073,-0.0430,0.2972,0.956
47.359573504,-0.8917,-0.0117,0.3051,0.943
47.369179504,-0.8838,0.0040,0.2934,0.931
47.379201581,-0.9073,0.0235,0.2816,0.950
47.389338312,-0.9152,0.0352,0.2542,0.950
47.399706004,-0.9307,0.0587,0.2582,0.968
47.409655889,-0.9542,0.0430,0.2659,0.992
47.420137389,-0.9269,0.0587,0.2542,0.963
47.430213312,-0.9659,0.0821,0.2425,0.999
47.440458581,-0.9425,0.0821,0.2385,0.976
47.450520812,-0.9621,0.0782,0.2268,0.992
47.460667966,-0.9386,0.0744,0.2112,0.965
47.471785312,-0.9621,0.0899,0.2073,0.988
47.481013735,-0.9739,0.0665,0.2151,1.000
47.491268735,-0.9816,0.0587,0.1995,1.003
47.501014043,-0.9739,0.0195,0.1760,0.990
47.511163927,-0.9621,0.0195,0.1798,0.979
47.521422235,-0.9816,0.0000,0.2033,1.002
47.531855158,-0.9777,-0.0040,0.2073,0.999
47.541785619,-1.0011,0.0078,0.2268,1.027
47.552129658,-0.9894,0.0117,0.2268,1.015
47.562228966,-0.9816,0.0312,0.2347,1.010
47.571890466,-0.9856,0.0312,0.2582,1.019
47.582275735,-0.9894,0.0235,0.2582,1.023
47.592222158,-0.9621,0.0469,0.2542,0.996
47.603471427,-0.9504,0.0587,0.2816,0.993
47.612161812,-0.9307,0.0587,0.2659,0.970
47.622900119,-0.9386,0.0469,0.2347,0.969
47.633114158,-0.9504,0.0547,0.2542,0.985
47.64247535,-0.9425,0.0547,0.2385,0.974
47.653540466,-0.9659,0.0587,0.2425,0.998
47.662616158,-0.9582,0.0469,0.2542,0.992
47.672677812,-0.9621,0.0547,0.2737,1.002
47.682955773,-0.9542,0.0430,0.2699,0.993
47.692981004,-0.9739,0.0704,0.2425,1.006
47.703208658,-0.9777,0.0547,0.1798,0.996
47.713389504,-1.0246,0.0509,0.1291,1.034
47.723769773,-1.0129,0.0587,0.0978,1.019
47.734063119,-1.0364,0.0626,0.0861,1.042
47.744082773,-1.0364,0.0626,0.1173,1.045
47.754289427,-1.0598,0.0587,0.1291,1.069
47.764492158,-1.0676,0.0469,0.1291,1.076
47.774319312,-1.0364,0.0274,0.1173,1.043
47.784585388,-1.0207,0.0157,0.1134,1.027
47.794778158,-0.9739,0.0157,0.1212,0.981
47.804822312,-0.9073,0.0195,0.1408,0.918
47.814999773,-0.8800,0.0392,0.1446,0.893
47.825549465,-0.8486,0.0195,0.1564,0.863
47.835159273,-0.8486,0.0157,0.1173,0.857
47.845544312,-0.8838,0.0117,0.0704,0.887
47.855481312,-0.9152,-0.0195,0.0509,0.917
47.865538273,-0.9504,-0.0195,0.0509,0.952
47.876260312,-0.9542,-0.0547,0.0469,0.957
47.885916119,-0.9934,-0.0821,0.0509,0.998
47.895990927,-0.9894,-0.0939,0.0587,0.996
47.90611185,-1.0011,-0.1408,0.1056,1.017
47.919637581,-0.9659,-0.1486,0.1369,0.987
47.926496542,-0.9777,-0.1878,0.1838,1.012
47.936839542,-0.9894,-0.1955,0.2503,1.039
47.946673619,-1.0207,-0.2347,0.2699,1.082
47.956643696,-1.0286,-0.2425,0.2503,1.086
47.967080158,-1.0481,-0.2582,0.2737,1.114
47.977342042,-1.0129,-0.2699,0.2737,1.083
47.987018042,-0.9777,-0.2307,0.2542,1.036
47.997399042,-1.0089,-0.2073,0.2972,1.072
48.007726734,-1.0168,-0.1798,0.3324,1.085
48.017739773,-1.0051,-0.1643,0.3481,1.076
48.027758504,-1.0246,-0.1643,0.3519,1.096
48.037925965,-1.0403,-0.1760,0.3246,1.104
48.053718158,-1.0286,-0.1760,0.3089,1.088
48.058328888,-1.0129,-0.1603,0.2855,1.064
48.068317504,-1.0011,-0.1760,0.2699,1.052
48.078478965,-0.9973,-0.1408,0.2737,1.044
48.088925811,-0.9699,-0.1526,0.2777,1.020
48.098747081,-0.9542,-0.1251,0.2503,0.994
48.109122004,-0.9386,-0.1291,0.2190,0.972
48.118835157,-0.9112,-0.1134,0.2033,0.940
48.130333734,-0.8603,-0.0978,0.1916,0.887
48.139094004,-0.8369,-0.0978,0.2033,0.867
48.14907935,-0.8134,-0.0782,0.1798,0.837
48.15945035,-0.8096,-0.0861,0.1798,0.834
48.16946735,-0.8056,-0.0821,0.1760,0.829
48.180009157,-0.8134,-0.0744,0.1329,0.828
48.189880619,-0.8096,-0.0782,0.1564,0.828
48.199824542,-0.8330,-0.1017,0.1916,0.861
48.210362696,-0.8760,-0.1134,0.2073,0.907
48.220422311,-0.8878,-0.1173,0.2230,0.923
48.230423888,-0.8917,-0.1212,0.2542,0.935
48.240812965,-0.9112,-0.1251,0.2737,0.960
48.250825157,-0.9386,-0.1134,0.2737,0.984
48.262184157,-0.9504,-0.1096,0.2503,0.989
48.271077696,-0.9190,-0.0939,0.2385,0.954
48.281615004,-0.9464,-0.1017,0.2542,0.985
48.291448504,-0.9386,-0.0939,0.2464,0.975
48.30163158,-0.9269,-0.0939,0.2503,0.965
48.311647311,-0.9190,-0.0821,0.2503,0.956
48.321891927,-0.8838,-0.1056,0.2347,0.921
48.331773927,-0.8251,-0.1096,0.2385,0.866
48.34206585,-0.7899,-0.1056,0.2464,0.834
48.352173157,-0.7392,-0.1446,0.2582,0.796
48.362666042,-0.7157,-0.1329,0.2503,0.770
48.37281735,-0.7079,-0.1486,0.2385,0.762
48.382614619,-0.6922,-0.1369,0.2268,0.741
48.394285234,-0.7117,-0.1564,0.2190,0.761
48.403031311,-0.7235,-0.1564,0.2425,0.779
48.413159273,-0.7157,-0.1486,0.2934,0.788
48.423164234,-0.7392,-0.1329,0.3324,0.821
48.433385619,-0.7861,-0.1446,0.3011,0.854
48.443610696,-0.7744,-0.1526,0.2347,0.823
48.453585042,-0.7626,-0.1329,0.2190,0.805
48.463867773,-0.7548,-0.1291,0.2659,0.811
48.474027426,-0.7744,-0.1173,0.3129,0.843
48.483868003,-0.7861,-0.1017,0.3129,0.852
48.493971773,-0.7978,-0.1251,0.3011,0.862
48.503845811,-0.8134,-0.1096,0.2855,0.869
48.514340196,-0.8760,-0.1173,0.2699,0.924
48.52553058,-0.8878,-0.1056,0.2894,0.940
48.534724619,-0.8955,-0.0899,0.3089,0.952
48.545116042,-0.9073,-0.0861,0.3364,0.971
48.554965196,-0.8682,-0.0782,0.3402,0.936
48.565101849,-0.8917,-0.0899,0.3207,0.952
48.574843811,-0.8995,-0.1212,0.3246,0.964
48.584849119,-0.8917,-0.1369,0.3207,0.957
48.595451811,-0.9307,-0.1643,0.2699,0.983
48.605419388,-0.9464,-0.1955,0.2347,0.995
48.615765696,-0.8838,-0.1995,0.2073,0.929
48.625781234,-0.8643,-0.2503,0.2190,0.926
48.635696426,-0.8486,-0.2347,0.2503,0.915
48.645921619,-0.7704,-0.2425,0.3246,0.870
48.658095965,-0.8056,-0.2347,0.3716,0.918
48.666122234,-0.8408,-0.2464,0.3793,0.955
48.677076696,-0.8955,-0.2894,0.3636,1.009
48.686744272,-1.0089,-0.2777,0.3324,1.098
48.696670696,-1.0403,-0.2934,0.2073,1.101
48.708027196,-1.1342,-0.3207,0.1329,1.186
48.717026426,-1.1342,-0.3011,0.0978,1.178
48.727142888,-1.1263,-0.2816,0.1408,1.169
48.737186388,-1.0872,-0.2503,0.1291,1.123
48.747475157,-1.0716,-0.2073,0.0547,1.093
48.759442926,-1.0833,-0.1603,-0.0078,1.095
48.767727465,-1.1694,-0.1251,0.0000,1.176
48.777459695,-1.2436,-0.1056,-0.0352,1.249
48.787902926,-1.3101,-0.0821,-0.0939,1.316
48.797825234,-1.3532,-0.0469,-0.1486,1.362
48.807782657,-1.3649,-0.0235,-0.0782,1.367
48.818286734,-1.3884,-0.0040,0.1017,1.392
48.828494734,-1.3492,0.0078,0.2347,1.370
48.839363426,-1.3649,0.0430,0.1955,1.380
48.848735003,-1.3258,0.0392,0.0587,1.328
48.858853657,-1.2631,0.0040,-0.0040,1.263
48.868433965,-1.1889,0.0000,0.0392,1.190
48.878937465,-1.1849,0.0274,0.1096,1.190
48.890797195,-1.1849,0.0312,0.1369,1.193
48.899429734,-1.2631,0.0469,0.1878,1.278
48.90929158,-1.2279,0.0000,0.1798,1.241
48.921636542,-1.2006,-0.0195,0.2112,1.219
48.930079926,-1.1811,-0.0392,0.2268,1.203
48.940037003,-1.1302,-0.0430,0.2425,1.157
48.950272195,-1.0676,-0.0469,0.1995,1.087
48.960444349,-1.0129,-0.0744,0.1760,1.031
48.970517272,-0.9386,-0.0665,0.1408,0.951
48.980463195,-0.8448,-0.0430,0.1134,0.853
48.990476388,-0.7587,-0.0509,0.1329,0.772
49.000614965,-0.7235,-0.0312,0.1329,0.736
49.010591311,-0.7040,-0.0392,0.1486,0.721
49.020584541,-0.7314,-0.0195,0.1798,0.753
49.031267157,-0.7744,-0.0352,0.1916,0.798
49.041777157,-0.7939,-0.0235,0.2190,0.824
49.051990234,-0.8565,-0.0352,0.2190,0.885
49.06133008,-0.8369,-0.0312,0.1995,0.861
49.071505888,-0.8369,-0.0235,0.1878,0.858
49.081976388,-0.8526,-0.0469,0.1798,0.873
49.092139157,-0.8955,-0.0509,0.1798,0.915
49.102230272,-0.9230,-0.0626,0.1878,0.944
49.112398541,-0.9464,-0.0782,0.2151,0.974
49.122457772,-0.9659,-0.0939,0.2073,0.992
49.132227964,-0.9464,-0.0939,0.2230,0.977
49.142340426,-0.9347,-0.0939,0.2620,0.975
49.152278772,-0.9073,-0.1134,0.2855,0.958
49.162652964,-0.9307,-0.1096,0.3051,0.986
49.172455734,-0.8800,-0.1096,0.2894,0.933
49.183269772,-0.8173,-0.1329,0.2894,0.877
