time,gFx,gFy,gFz,TgF
49.614907311,-0.9425,0.0392,0.3559,1.008
49.620760157,-0.9347,0.0392,0.3364,0.994
49.628835619,-0.9307,0.0352,0.3089,0.981
49.638804119,-0.9386,0.0235,0.3286,0.995
49.64973758,-0.9386,0.0352,0.3246,0.994
49.659349503,-0.9464,0.0235,0.3324,1.003
49.669470657,-0.9386,0.0235,0.3402,0.999
49.679568926,-0.9464,0.0040,0.3168,0.998
49.689694426,-0.9504,0.0274,0.3089,1.000
49.69968958,-0.9542,0.0274,0.3402,1.013
49.709986272,-0.9464,0.0274,0.3559,1.011
49.720174734,-0.9425,0.0195,0.3481,1.005
49.730371118,-0.9582,0.0274,0.3636,1.025
49.740450734,-0.9504,0.0078,0.3441,1.011
49.750369888,-0.9464,0.0195,0.3324,1.003
49.760678926,-0.9582,0.0235,0.3402,1.017
49.770866157,-0.9659,0.0312,0.3441,1.026
49.781734157,-0.9542,0.0040,0.3324,1.010
49.791394041,-0.9582,0.0195,0.3402,1.017
49.801210772,-0.9504,0.0274,0.3402,1.010
49.811590157,-0.9386,0.0117,0.3402,0.998
49.821448272,-0.9542,0.0117,0.3364,1.012
49.834223272,-0.9504,0.0274,0.3559,1.015
49.841772541,-0.9347,0.0274,0.3441,0.996
49.851268157,-0.9582,0.0235,0.3559,1.022
49.861552465,-0.9659,0.0195,0.3441,1.026
49.872000503,-0.9307,0.0157,0.3364,0.990
49.881942349,-0.9386,0.0312,0.3559,1.004
49.892682849,-0.9504,0.0078,0.3324,1.007
49.902347311,-0.9425,0.0352,0.3481,1.005
49.913650888,-0.9659,0.0274,0.3011,1.012
49.922854195,-0.9777,0.0117,0.3168,1.028
49.932465695,-0.9464,0.0235,0.3168,0.998
49.942857734,-0.9542,0.0157,0.3598,1.020
49.952996926,-0.9386,0.0000,0.3402,0.998
49.963248964,-0.9386,0.0040,0.3364,0.997
49.973482734,-0.9269,0.0235,0.3481,0.990
49.983424272,-0.9307,0.0195,0.3129,0.982
49.993666926,-0.9504,0.0312,0.3129,1.001
50.003888849,-0.9542,0.0235,0.3402,1.013
50.013725118,-0.9621,0.0352,0.3754,1.033
50.024307349,-0.9230,0.0235,0.3598,0.991
50.033761849,-0.9112,0.0195,0.3833,0.989
50.048885926,-0.8995,0.0117,0.3636,0.970
50.054119272,-0.9190,0.0274,0.3559,0.986
50.064989234,-0.9269,0.0235,0.3364,0.986
50.074611926,-0.9307,0.0117,0.3481,0.994
50.084664349,-0.9347,0.0195,0.3481,0.998
50.094776849,-0.9464,0.0312,0.3441,1.008
50.10491958,-0.9347,0.0274,0.3129,0.986
50.114910772,-0.9425,0.0274,0.3519,1.006
50.12518508,-0.9386,0.0547,0.3441,1.001
50.13543508,-0.9425,0.0509,0.3676,1.013
50.147819618,-0.9464,0.0392,0.3559,1.012
50.155740272,-0.9307,0.0195,0.3441,0.993
50.16573658,-0.9425,0.0352,0.3364,1.001
50.176844349,-0.9425,0.0392,0.3207,0.996
50.186200272,-0.9582,0.0195,0.3286,1.013
50.196337041,-0.9816,0.0195,0.3286,1.035
