time,gFx,gFy,gFz,TgF
20.207400563,-0.9269,-0.0352,0.3559,0.994
20.215698332,-0.9307,-0.0235,0.3481,0.994
20.224874178,-0.9425,-0.0352,0.3051,0.991
20.237229678,-0.9307,-0.0352,0.3286,0.988
20.24530164,-0.9464,-0.0235,0.3559,1.011
20.255652217,-0.9425,-0.0195,0.3598,1.009
20.26622437,-0.9307,-0.0274,0.3716,1.003
20.275878024,-0.9425,-0.0235,0.3364,1.001
20.28604087,-0.9542,-0.0392,0.3441,1.015
20.295867294,-0.9425,-0.0312,0.3519,1.007
20.305932947,-0.9386,-0.0392,0.3402,0.999
20.315997794,-0.9347,-0.0430,0.3402,0.996
20.32658764,-0.9347,-0.0547,0.3481,0.999
20.336508178,-0.9307,-0.0352,0.3559,0.997
20.34692887,-0.9347,-0.0392,0.3598,1.002
20.356978217,-0.9582,-0.0312,0.3636,1.025
20.368527178,-0.9542,-0.0312,0.3636,1.022
20.37710414,-0.9386,-0.0547,0.3441,1.001
20.38720614,-0.9307,-0.0469,0.3441,0.993
20.398689986,-0.9425,-0.0352,0.3519,1.007
20.407405909,-0.9542,-0.0312,0.3364,1.012
20.417539678,-0.9425,-0.0430,0.3481,1.006
20.427576563,-0.9504,-0.0274,0.3481,1.012
20.437708832,-0.9504,-0.0235,0.3481,1.012
20.448035793,-0.9582,-0.0235,0.3598,1.024
20.458027563,-0.9230,-0.0235,0.3676,0.994
20.467969601,-0.9347,-0.0195,0.3559,1.000
20.478135947,-0.9386,-0.0392,0.3324,0.997
20.487841216,-0.9464,-0.0392,0.3598,1.013
20.501255678,-0.9034,-0.0352,0.3519,0.970
20.508108524,-0.9386,-0.0392,0.3559,1.005
20.518676678,-0.9425,-0.0195,0.3636,1.010
20.528589063,-0.9307,-0.0195,0.3598,0.998
20.53873387,-0.9307,-0.0312,0.3636,1.000
20.549375486,-0.9034,-0.0157,0.3481,0.968
20.559400216,-0.9347,-0.0312,0.3481,0.998
20.569286255,-0.9307,-0.0195,0.3481,0.994
20.580615255,-0.9504,-0.0352,0.3324,1.007
20.589609178,-0.9347,-0.0352,0.3286,0.991
20.599453447,-0.9504,-0.0469,0.3286,1.007
20.609887601,-0.9386,-0.0392,0.3286,0.995
20.619776524,-0.9659,-0.0430,0.3754,1.037
20.631217101,-0.9504,-0.0274,0.3716,1.021
20.640059909,-0.9464,-0.0352,0.3598,1.013
20.650038293,-0.9269,-0.0469,0.3364,0.987
20.660236024,-0.9504,-0.0352,0.3246,1.005
20.670513486,-0.9464,-0.0274,0.3051,0.995
20.68059237,-0.9739,-0.0312,0.2777,1.013
20.690624139,-0.9542,-0.0392,0.2894,0.998
20.701345024,-0.9504,-0.0274,0.3246,1.005
20.711628024,-0.9230,-0.0352,0.3519,0.988
20.721475986,-0.9112,-0.0235,0.3871,0.990
20.73128937,-0.8917,-0.0352,0.3950,0.976
20.742136832,-0.9464,-0.0235,0.3754,1.018
20.751780139,-0.9542,-0.0117,0.3676,1.023
20.763361062,-0.9425,-0.0352,0.3129,0.994
20.772073947,-0.9425,-0.0040,0.3246,0.997
20.782571447,-0.9152,-0.0157,0.3207,0.970
20.792586255,-0.9307,-0.0352,0.2894,0.975
20.803014409,-0.9073,-0.0195,0.2659,0.946
20.812378524,-0.9190,-0.0117,0.2582,0.955
20.822794062,-0.9386,-0.0117,0.2855,0.981
20.83283287,-0.9152,-0.0274,0.2894,0.960
20.843981332,-0.9034,-0.0235,0.2855,0.948
20.853104255,-0.9269,-0.0274,0.3011,0.975
20.863542101,-0.9621,-0.0040,0.2894,1.005
20.873833562,-0.9504,-0.0274,0.2503,0.983
20.883700639,-0.9621,-0.0392,0.1916,0.982
20.893662793,-0.9504,-0.0430,0.1798,0.968
20.904005178,-0.9347,-0.0392,0.1878,0.954
20.913765408,-0.9073,-0.0352,0.2230,0.935
20.924343985,-0.9073,-0.0509,0.2425,0.940
20.934252793,-0.9190,-0.0547,0.2230,0.947
20.944135716,-0.9269,-0.0274,0.2033,0.949
20.954725562,-0.9034,-0.0352,0.1603,0.918
20.964637832,-0.9582,-0.0392,0.1446,0.970
20.975394447,-0.9347,-0.0430,0.1446,0.947
20.985120293,-0.9542,-0.0547,0.2190,0.981
20.995160216,-0.9542,-0.0626,0.2659,0.993
21.00532187,-0.9425,-0.0665,0.2699,0.983
21.015701985,-0.9777,-0.0469,0.2659,1.014
21.025313831,-0.9894,-0.0744,0.2464,1.022
21.035711908,-1.0011,-0.0587,0.2385,1.031
21.045733678,-0.9934,-0.0626,0.2033,1.016
21.055994062,-0.9856,-0.0626,0.2073,1.009
21.066132255,-0.9816,-0.0626,0.2073,1.005
21.076284255,-0.9777,-0.0469,0.1995,0.999
21.086807755,-0.9934,-0.0469,0.2112,1.017
21.095954447,-0.9934,-0.0704,0.1916,1.014
21.108220562,-0.9621,-0.0665,0.1486,0.976
21.116749101,-0.9504,-0.0587,0.1681,0.967
21.126539716,-0.8565,-0.0469,0.1721,0.875
21.136823639,-0.9464,-0.0509,0.1251,0.956
21.14698037,-0.9856,-0.0587,0.1291,0.996
21.161501793,-1.0129,-0.0704,0.1643,1.029
21.167293793,-1.0207,-0.0665,0.1564,1.035
21.177721524,-1.0129,-0.0626,0.1408,1.025
21.187672562,-0.9777,-0.0899,0.0939,0.986
21.197989024,-0.9425,-0.0782,0.1017,0.951
21.207787254,-0.9112,-0.0978,0.0939,0.921
21.218118485,-0.8760,-0.1212,0.0899,0.889
21.228035331,-0.8526,-0.1134,0.0626,0.862
21.239411177,-0.8330,-0.1251,0.0312,0.843
21.248776793,-0.7744,-0.1173,-0.0040,0.783
21.258391908,-0.7314,-0.1291,-0.0040,0.743
21.268774947,-0.7117,-0.1408,-0.0547,0.728
21.278716677,-0.7157,-0.1446,-0.0744,0.734
21.293286985,-0.7079,-0.1446,-0.0430,0.724
21.298828485,-0.6844,-0.1446,-0.0665,0.703
21.309481831,-0.6531,-0.1291,-0.1096,0.675
21.319077331,-0.6335,-0.1056,-0.1446,0.658
21.329051024,-0.6179,-0.1329,-0.1486,0.649
21.33938137,-0.5983,-0.1329,-0.1564,0.633
21.349905793,-0.5866,-0.1408,-0.1760,0.628
21.359652985,-0.5749,-0.1721,-0.1408,0.616
21.370799331,-0.6023,-0.1798,-0.1643,0.650
21.380039062,-0.6218,-0.2033,-0.1369,0.668
21.390139024,-0.6258,-0.1838,-0.1212,0.663
21.400137447,-0.6218,-0.2230,-0.1291,0.673
21.410145293,-0.6218,-0.2425,-0.1526,0.685
21.423105024,-0.6296,-0.2347,-0.2033,0.702
21.4306456,-0.6844,-0.2385,-0.1681,0.744
21.440832677,-0.7040,-0.2699,-0.1251,0.764
21.450473216,-0.7431,-0.2855,-0.1251,0.806
21.460772139,-0.7509,-0.3011,-0.1056,0.816
21.471073331,-0.8408,-0.3207,-0.0861,0.904
21.481350485,-0.8800,-0.2894,-0.1486,0.938
21.491647831,-0.8721,-0.2855,-0.2033,0.940
21.502712831,-0.8486,-0.2737,-0.2033,0.915
21.511661947,-0.8448,-0.2464,-0.2699,0.920
21.522331023,-0.8917,-0.2425,-0.2582,0.959
21.53210337,-0.8721,-0.1995,-0.2425,0.927
21.542168716,-0.8251,-0.1603,-0.2582,0.879
21.552566677,-0.8173,-0.1251,-0.2699,0.870
21.562380562,-0.8056,-0.1212,-0.2542,0.853
21.572239293,-0.8917,-0.1526,-0.2777,0.946
21.5828306,-0.8721,-0.1643,-0.2894,0.933
21.593017754,-0.8486,-0.1603,-0.2816,0.908
21.602713562,-0.9112,-0.1564,-0.2347,0.954
21.613491908,-0.9034,-0.2151,-0.1878,0.947
21.623417639,-0.8682,-0.2190,-0.1878,0.915
21.634481677,-0.7392,-0.2816,-0.1369,0.803
21.643685677,-0.8565,-0.2620,-0.2659,0.934
21.653840485,-0.7782,-0.2620,-0.2816,0.868
21.663909562,-0.8448,-0.2582,-0.3246,0.941
21.673663331,-0.9504,-0.3011,-0.3716,1.064
21.688379946,-0.9856,-0.3129,-0.3519,1.092
21.694218062,-1.0051,-0.3207,-0.3402,1.109
21.704420985,-0.9699,-0.3364,-0.3246,1.077
21.714747485,-0.9425,-0.3364,-0.3168,1.050
21.724258523,-0.9190,-0.3324,-0.3441,1.036
21.734649254,-0.8721,-0.3286,-0.3441,0.993
21.744640369,-0.9307,-0.3402,-0.3950,1.067
21.754756139,-0.9230,-0.3481,-0.4302,1.076
21.769391331,-0.8565,-0.3402,-0.4537,1.027
21.774781677,-0.8096,-0.3246,-0.4420,0.978
21.785277792,-0.7782,-0.3129,-0.4106,0.934
21.795494985,-0.9034,-0.2582,-0.3754,1.012
21.805601946,-0.8917,-0.2503,-0.3598,0.994
21.819212908,-0.8603,-0.2737,-0.3793,0.979
21.825516408,-0.9112,-0.2934,-0.4106,1.042
21.835390254,-0.9582,-0.2737,-0.4302,1.085
21.845899408,-0.9269,-0.2894,-0.3989,1.050
21.855979292,-0.9542,-0.2934,-0.4145,1.081
21.866595254,-0.9464,-0.2737,-0.4068,1.066
21.876152946,-0.8721,-0.2894,-0.3989,1.002
21.886489485,-0.8251,-0.2855,-0.3636,0.946
21.896962523,-0.7978,-0.2777,-0.2934,0.894
21.9067396,-0.7469,-0.3051,-0.2503,0.845
21.917116715,-0.9190,-0.3676,-0.3676,1.056
21.926982369,-1.0286,-0.3676,-0.3559,1.149
21.937565562,-1.0559,-0.3793,-0.4145,1.196
21.950324446,-1.0598,-0.3716,-0.4263,1.201
21.957588831,-0.9504,-0.3676,-0.3754,1.086
21.967889177,-0.9152,-0.3481,-0.3481,1.039
21.977761215,-0.9307,-0.3286,-0.3286,1.040
21.987912946,-1.0051,-0.3402,-0.3051,1.104
21.998183254,-1.0950,-0.3676,-0.3636,1.211
22.008103062,-1.0638,-0.3833,-0.3950,1.198
22.018080331,-1.0793,-0.3989,-0.3911,1.215
22.028380985,-1.1615,-0.3871,-0.4497,1.304
