time,gFx,gFy,gFz,TgF
10.280513723,-0.8526,-0.0117,0.4889,0.983
10.289686685,-0.8213,0.0040,0.4615,0.942
10.299860646,-0.8408,-0.0157,0.4810,0.969
10.308839492,-0.8408,-0.0352,0.4693,0.964
10.319061415,-0.8603,-0.0352,0.4967,0.994
10.328346569,-0.8408,-0.0392,0.5124,0.985
10.338484069,-0.8486,-0.0469,0.5045,0.988
10.349064492,-0.8643,-0.0235,0.4967,0.997
10.359278223,-0.8603,-0.0274,0.4654,0.979
10.370576377,-0.9073,-0.0392,0.4810,1.028
10.379814608,-0.8682,-0.0312,0.4693,0.987
10.389909261,-0.8565,-0.0509,0.4537,0.971
10.399941146,-0.8682,-0.0274,0.4889,0.997
10.409814069,-0.8603,-0.0430,0.4772,0.985
10.420293877,-0.8682,-0.0430,0.4772,0.992
10.430109646,-0.8486,-0.0430,0.4420,0.958
10.4404393,-0.8565,-0.0274,0.4302,0.959
10.450099031,-0.8603,-0.0509,0.4497,0.972
10.460261761,-0.8526,-0.0392,0.4654,0.972
10.470570415,-0.8800,-0.0312,0.4849,1.005
10.480779031,-0.8682,-0.0430,0.5124,1.009
10.491391261,-0.8800,-0.0392,0.5476,1.037
10.501201261,-0.8565,-0.0392,0.5124,0.999
10.511275723,-0.8448,-0.0235,0.4654,0.965
10.5214478,-0.8917,-0.0312,0.4145,0.984
10.5313258,-0.8448,-0.0235,0.3716,0.923
10.541352454,-0.8056,-0.0352,0.3950,0.898
10.5525533,-0.8448,-0.0157,0.3950,0.933
10.561830223,-0.8486,-0.0157,0.3871,0.933
10.572448338,-0.8448,-0.0352,0.4106,0.940
10.582478838,-0.8486,-0.0626,0.4263,0.952
10.591812415,-0.8682,-0.0509,0.4106,0.962
10.602108377,-0.8682,-0.0469,0.3950,0.955
10.612726377,-0.8682,-0.0509,0.3716,0.946
10.622425492,-0.8800,-0.0744,0.3676,0.957
10.632821684,-0.8800,-0.0626,0.3559,0.951
10.642670723,-0.8486,-0.0665,0.3519,0.921
10.653118684,-0.8800,-0.0587,0.3636,0.954
10.663233915,-0.8955,-0.0704,0.3598,0.968
10.672790915,-0.9386,-0.0861,0.3559,1.008
10.684178338,-0.9856,-0.0665,0.3636,1.053
10.693520954,-0.9504,-0.1017,0.3402,1.015
10.70407553,-0.9152,-0.0861,0.3364,0.979
