time,gFx,gFy,gFz,TgF
15.02038299,-0.9269,0.0547,0.3716,1.000
15.02489572,-0.9190,0.0509,0.3754,0.994
15.037808566,-0.9230,0.0587,0.3793,1.000
15.04539922,-0.8878,0.0469,0.3754,0.965
15.055591259,-0.9230,0.0469,0.3716,0.996
15.06568899,-0.8955,0.0587,0.3754,0.973
15.076004297,-0.9190,0.0352,0.3676,0.990
15.085893566,-0.9073,0.0392,0.3519,0.974
15.096093797,-0.9307,0.0195,0.3324,0.989
15.106869143,-0.9347,0.0274,0.3636,1.003
15.116213489,-0.9230,0.0392,0.3716,0.996
15.126484989,-0.9190,0.0587,0.3989,1.004
15.136588566,-0.8995,0.0430,0.3950,0.983
15.146850336,-0.8878,0.0430,0.3716,0.963
15.157281105,-0.9112,0.0469,0.3676,0.984
15.166911989,-0.9386,0.0430,0.3911,1.018
15.177021836,-0.9464,0.0547,0.3676,1.017
15.186902836,-0.9386,0.0744,0.3598,1.008
15.197204374,-0.9112,0.0626,0.3793,0.989
15.207351643,-0.9073,0.0665,0.3754,0.984
15.217425489,-0.9112,0.0899,0.3636,0.985
15.227571528,-0.9386,0.0704,0.3716,1.012
15.242367528,-0.9190,0.0665,0.3911,1.001
15.248112643,-0.9152,0.0744,0.3598,0.986
15.258275412,-0.9190,0.0782,0.3598,0.990
15.268489797,-0.9152,0.0744,0.3636,0.988
15.278228374,-0.9347,0.0704,0.3676,1.007
15.289914182,-0.9347,0.0587,0.3716,1.008
15.298746682,-0.9386,0.0704,0.3871,1.018
15.309172297,-0.9347,0.0626,0.3636,1.005
15.31903872,-0.9269,0.0587,0.3636,0.997
15.328853951,-0.9073,0.0547,0.3716,0.982
15.34043722,-0.9152,0.0665,0.3716,0.990
15.349501951,-0.9230,0.0626,0.3754,0.998
15.359616797,-0.9307,0.0547,0.3793,1.007
15.369806566,-0.9190,0.0547,0.3598,0.988
15.379969028,-0.9269,0.0430,0.3598,0.995
15.389790451,-0.8955,0.0626,0.3481,0.963
15.400604528,-0.9152,0.0626,0.3519,0.983
15.409934682,-0.9464,0.0665,0.3441,1.009
15.420247759,-0.9269,0.0547,0.3636,0.997
15.430508605,-0.9425,0.0704,0.3559,1.010
15.440678297,-0.9230,0.0821,0.3598,0.994
15.451024143,-0.9504,0.0744,0.3754,1.025
15.460863451,-0.9152,0.0665,0.3754,0.991
15.470716335,-0.9190,0.0861,0.3598,0.991
15.481046412,-0.9347,0.0899,0.3559,1.004
15.491565105,-0.9425,0.0782,0.3676,1.015
15.503767835,-0.9347,0.0899,0.3676,1.008
15.511436951,-0.9739,0.0899,0.3676,1.045
15.521701258,-0.9504,0.0587,0.3559,1.017
15.531842066,-0.9425,0.0665,0.3598,1.011
15.541653335,-0.9621,0.0665,0.3636,1.031
15.552520758,-0.9699,0.0978,0.3793,1.046
15.562552681,-0.9307,0.0744,0.3598,1.001
15.572646874,-0.9269,0.0861,0.3636,0.999
15.582810374,-0.9112,0.1017,0.3716,0.989
15.592512835,-0.9269,0.0861,0.3676,1.001
15.602511258,-0.9307,0.0899,0.3676,1.005
15.612355643,-0.9386,0.0939,0.3793,1.017
15.622686528,-0.9230,0.0861,0.3793,1.002
15.633154528,-0.8955,0.0899,0.4028,0.986
15.642958604,-0.9425,0.0587,0.3989,1.025
15.652989951,-0.9739,0.0469,0.3911,1.050
15.663297104,-0.9425,0.0078,0.3833,1.017
15.673394335,-0.9386,0.0117,0.3519,1.003
15.684502181,-0.9425,-0.0430,0.3207,0.996
15.693886297,-0.9190,-0.0469,0.2972,0.967
15.70409372,-0.9190,-0.0587,0.3246,0.976
15.714232643,-0.9152,-0.0665,0.3364,0.977
15.724009412,-0.8603,-0.0821,0.3519,0.933
15.737028335,-0.8213,-0.0782,0.3598,0.900
15.74470272,-0.8565,-0.1096,0.3716,0.940
15.754994297,-0.8526,-0.1173,0.3636,0.934
15.765133681,-0.8838,-0.1096,0.3676,0.963
15.775469066,-0.9425,-0.0744,0.3598,1.012
15.785488066,-0.9739,-0.0626,0.3676,1.043
15.795212451,-1.0168,-0.0235,0.3676,1.081
15.805173066,-1.0441,-0.0040,0.3286,1.095
15.816391066,-1.0324,0.0117,0.3441,1.088
15.825534066,-1.0403,0.0235,0.3441,1.096
15.836007181,-1.0403,0.0235,0.3559,1.100
15.84633822,-1.0324,0.0157,0.3441,1.088
15.856408143,-1.0207,0.0040,0.3364,1.075
15.865932258,-0.9856,-0.0040,0.3364,1.041
15.876219335,-0.9504,0.0040,0.3481,1.012
15.886836604,-0.8995,-0.0078,0.3481,0.965
15.896796566,-0.9190,-0.0040,0.3324,0.977
15.906659066,-0.9542,0.0040,0.3246,1.008
15.916676912,-0.9621,0.0000,0.3089,1.010
15.927036527,-0.9425,-0.0274,0.3324,1.000
15.937069835,-0.9190,-0.0235,0.3793,0.994
15.950761027,-0.9307,-0.0157,0.4302,1.025
15.957743758,-0.9307,-0.0392,0.4263,1.024
15.967998335,-0.8800,-0.0821,0.3989,0.970
15.978062797,-0.9034,-0.0782,0.3402,0.969
15.987662912,-0.9307,-0.0978,0.3246,0.991
15.99850895,-0.9190,-0.1096,0.3636,0.994
16.007970297,-0.8995,-0.0704,0.3871,0.982
16.01810345,-0.8955,-0.0430,0.4068,0.985
16.028002066,-0.8603,-0.0235,0.3833,0.942
