time,gFx,gFy,gFz,TgF
18.488136756,-0.9269,-0.0157,0.3911,1.006
18.498177102,-0.9504,-0.0352,0.4106,1.036
18.508618295,-0.9230,-0.0312,0.4145,1.012
18.518307948,-0.9073,-0.0352,0.3989,0.992
18.528357333,-0.9464,-0.0312,0.3871,1.023
18.539243987,-0.9112,-0.0352,0.3833,0.989
18.548784718,-0.9152,-0.0392,0.3911,0.996
18.559878987,-0.8838,-0.0157,0.3950,0.968
18.570054102,-0.8878,-0.0157,0.4028,0.975
18.579481371,-0.8760,-0.0078,0.3793,0.955
18.589856602,-0.8486,0.0117,0.3754,0.928
18.599827256,-0.8838,0.0274,0.3950,0.968
18.611912948,-0.9307,0.0312,0.3911,1.010
18.619659756,-0.9307,0.0587,0.3989,1.014
18.630183179,-0.9699,0.0665,0.4068,1.054
18.640855564,-0.9856,0.0587,0.3950,1.063
18.650678602,-0.9699,0.0469,0.4223,1.059
18.660863371,-0.9542,0.0509,0.4380,1.051
18.670991487,-0.9777,0.0040,0.4380,1.071
18.680618756,-0.9659,0.0117,0.3911,1.042
18.691797871,-0.9739,0.0040,0.3754,1.044
18.701319294,-0.9659,-0.0157,0.3793,1.038
18.711485218,-0.9269,-0.0195,0.3871,1.005
18.721484294,-0.8995,-0.0274,0.3676,0.972
18.731627871,-0.8526,-0.0352,0.3754,0.932
18.741690102,-0.8682,-0.0469,0.3833,0.950
18.752017833,-0.8408,-0.0469,0.3989,0.932
18.761931525,-0.7899,-0.0547,0.4145,0.894
18.772682987,-0.7704,-0.0274,0.4458,0.891
18.782574333,-0.7587,-0.0078,0.4380,0.876
18.792402679,-0.7587,-0.0117,0.4420,0.878
18.802447871,-0.7939,0.0352,0.4185,0.898
18.812480217,-0.8056,0.0352,0.4263,0.912
18.823841141,-0.8408,0.0392,0.4263,0.944
18.832935525,-0.8838,0.0392,0.4263,0.982
18.843070679,-0.9230,0.0235,0.4380,1.022
18.853240448,-0.9190,0.0312,0.4420,1.020
18.863264487,-0.9464,0.0312,0.4497,1.048
18.873226525,-0.9582,0.0195,0.4654,1.065
18.883751371,-0.9934,0.0274,0.4537,1.092
18.893377756,-0.9816,0.0078,0.4420,1.077
18.90387764,-0.9934,0.0117,0.4185,1.078
18.913779294,-1.0011,0.0040,0.4185,1.085
18.92417941,-1.0011,-0.0078,0.3989,1.078
18.934331794,-0.9816,-0.0078,0.3871,1.055
18.94465864,-0.9699,-0.0195,0.3793,1.042
18.955903333,-0.9464,-0.0157,0.3950,1.026
18.965239987,-0.9699,-0.0117,0.3871,1.044
18.974922294,-0.9504,-0.0235,0.3833,1.025
18.985048179,-0.9386,-0.0352,0.3754,1.012
19.010526717,-0.9269,-0.0195,0.3716,0.999
19.011459794,-0.9307,-0.0157,0.3598,0.998
19.015118179,-0.9112,-0.0235,0.3754,0.986
19.025090948,-0.8995,-0.0392,0.3989,0.985
19.035423525,-0.9112,-0.0312,0.4028,0.997
19.045121063,-0.8878,-0.0274,0.4028,0.975
19.055452448,-0.8565,-0.0469,0.3989,0.946
19.066104217,-0.9034,-0.0626,0.3950,0.988
19.075783371,-0.8721,-0.0469,0.3676,0.948
19.087112217,-0.9230,-0.0547,0.3833,1.001
19.095758333,-0.9230,-0.0744,0.3402,0.986
19.106106063,-0.9425,-0.0744,0.2894,0.989
19.11632214,-0.9973,-0.1017,0.2855,1.042
19.126165602,-0.9464,-0.0744,0.2894,0.992
19.137092794,-0.9621,-0.0430,0.3051,1.010
19.146940486,-0.9425,-0.0392,0.3481,1.005
19.157235871,-0.9307,-0.0509,0.3519,0.996
19.16718091,-0.9034,-0.0392,0.3324,0.963
19.177281102,-0.8800,-0.0665,0.3168,0.938
19.187405563,-0.9230,-0.0157,0.2855,0.966
19.197804602,-0.8995,-0.0626,0.2816,0.945
19.207729371,-0.8995,-0.0665,0.2659,0.940
19.222020833,-0.8917,-0.0704,0.2582,0.931
19.228251486,-0.9230,-0.0821,0.2425,0.958
19.238159525,-0.9152,-0.1017,0.2659,0.958
19.248251409,-0.9230,-0.1134,0.2972,0.976
19.258294217,-0.9582,-0.1096,0.3168,1.015
19.268866025,-0.9347,-0.1173,0.3207,0.995
19.278798025,-0.9230,-0.1173,0.3246,0.985
19.288689025,-0.9112,-0.1251,0.3286,0.977
19.299337756,-0.8995,-0.1369,0.3286,0.967
19.309130025,-0.8838,-0.1369,0.3207,0.950
19.319297986,-0.9307,-0.1251,0.3286,0.995
19.329751563,-0.9152,-0.1096,0.3129,0.973
19.339898063,-0.8878,-0.1056,0.3129,0.947
19.350787371,-0.9230,-0.1017,0.3441,0.990
19.359389832,-0.9347,-0.1017,0.3441,1.001
19.369998794,-0.9386,-0.1017,0.3481,1.006
19.380159371,-0.9464,-0.0978,0.3364,1.009
19.389985294,-0.9856,-0.1173,0.3519,1.053
19.402983948,-0.9894,-0.1096,0.3519,1.056
19.410606102,-0.9894,-0.1212,0.3402,1.053
19.420645679,-0.9973,-0.1212,0.3481,1.063
19.43100664,-0.9856,-0.0899,0.3481,1.049
19.440496255,-0.9659,-0.0939,0.3519,1.032
19.451002832,-1.0011,-0.1056,0.3441,1.064
19.461012986,-0.9894,-0.0861,0.3364,1.049
19.471045179,-1.0089,-0.0899,0.3168,1.061
19.481276563,-0.9934,-0.1212,0.2894,1.042
19.491108102,-0.9934,-0.1056,0.2777,1.037
19.502069409,-1.0168,-0.1212,0.2620,1.057
19.511316063,-0.9934,-0.1369,0.2582,1.035
19.521304602,-1.0051,-0.1408,0.2425,1.043
19.532212371,-1.0286,-0.1134,0.2033,1.055
19.541564486,-0.9973,-0.0782,0.2268,1.026
19.552332755,-0.9307,-0.1017,0.2620,0.972
19.562714448,-0.8955,-0.0978,0.2464,0.934
19.572527525,-0.8995,-0.1096,0.2503,0.940
19.582391832,-0.8682,-0.0978,0.2385,0.906
19.592682832,-0.8369,-0.0978,0.2230,0.872
19.602849063,-0.8603,-0.0861,0.2268,0.894
19.613083448,-0.8603,-0.0939,0.2347,0.897
19.623092178,-0.9347,-0.0899,0.2385,0.969
19.633479294,-0.9659,-0.0704,0.2659,1.004
19.643620717,-0.9425,-0.1056,0.2582,0.983
19.653730794,-0.9464,-0.0939,0.2816,0.992
19.664844717,-0.9347,-0.0939,0.2737,0.978
19.674124371,-0.9621,-0.0899,0.2699,1.003
19.684149332,-0.9425,-0.1212,0.2503,0.983
19.694220101,-0.9347,-0.1329,0.2385,0.974
19.704168371,-0.9347,-0.1329,0.2582,0.979
19.716215178,-0.9152,-0.1446,0.2307,0.955
19.724376448,-0.9230,-0.1603,0.2307,0.965
19.734956024,-0.9230,-0.1564,0.2230,0.962
19.746134755,-0.9190,-0.1643,0.2582,0.969
19.754939294,-0.9190,-0.1760,0.2699,0.974
19.764923024,-0.9152,-0.1526,0.3011,0.975
19.775313448,-0.9425,-0.1564,0.3286,1.010
19.785325948,-0.9582,-0.1408,0.3324,1.024
19.796105371,-1.0051,-0.1681,0.3168,1.067
19.805211563,-1.0129,-0.1681,0.2894,1.067
19.815706832,-0.9739,-0.1798,0.2699,1.026
19.825759178,-0.9542,-0.1603,0.2737,1.006
19.835895447,-0.9621,-0.1760,0.2737,1.016
19.84622664,-0.9112,-0.1681,0.2620,0.963
19.856114409,-0.8838,-0.1643,0.2582,0.935
19.86649114,-0.8565,-0.1878,0.2542,0.913
