time,gFx,gFy,gFz,TgF
10.000799385,-0.7100,0.4478,0.5448,1.001
10.004050077,-0.7085,0.4470,0.5443,0.999
10.005635385,-0.7078,0.4472,0.5431,0.998
10.007999077,-0.7068,0.4492,0.5467,1.000
10.010324,-0.7068,0.4497,0.5458,1.000
10.012856231,-0.7036,0.4497,0.5451,0.997
10.015230462,-0.6980,0.4506,0.5472,0.995
10.017613154,-0.6990,0.4516,0.5467,0.996
10.019611,-0.6997,0.4523,0.5478,0.997
10.022420231,-0.6990,0.4521,0.5439,0.994
10.024937231,-0.6941,0.4514,0.5436,0.990
10.026996231,-0.6948,0.4536,0.5418,0.991
10.029399308,-0.6939,0.4509,0.5423,0.989
10.031743077,-0.6919,0.4514,0.5402,0.987
10.034217231,-0.6941,0.4499,0.5406,0.988
10.036585847,-0.6899,0.4511,0.5414,0.986
10.044858385,-0.6916,0.4506,0.5421,0.988
10.045355616,-0.6921,0.4490,0.5421,0.987
10.045740539,-0.6897,0.4485,0.5446,0.987
10.045958154,-0.6899,0.4497,0.5448,0.987
10.049063616,-0.6899,0.4502,0.5443,0.987
10.050741847,-0.6862,0.4485,0.5441,0.984
10.052980923,-0.6865,0.4467,0.5460,0.984
10.055955,-0.6899,0.4485,0.5502,0.990
10.057808,-0.6914,0.4474,0.5502,0.990
10.060265847,-0.6941,0.4455,0.5509,0.992
10.062898693,-0.6985,0.4446,0.5573,0.998
10.065718077,-0.7000,0.4441,0.5578,0.999
10.06724277,-0.7002,0.4423,0.5609,1.000
10.069797462,-0.6967,0.4453,0.5580,0.998
10.073592308,-0.6953,0.4431,0.5580,0.996
10.074378462,-0.6980,0.4446,0.5536,0.996
10.07682677,-0.6967,0.4470,0.5499,0.994
10.080501231,-0.6978,0.4478,0.5463,0.993
10.081551308,-0.6965,0.4472,0.5448,0.991
10.083976616,-0.6980,0.4458,0.5455,0.992
10.086407693,-0.7002,0.4465,0.5451,0.993
10.088741231,-0.7032,0.4480,0.5448,0.996
10.091059,-0.7019,0.4480,0.5460,0.996
10.093399616,-0.7048,0.4462,0.5480,0.998
10.096122385,-0.7024,0.4455,0.5467,0.995
10.098609539,-0.7032,0.4478,0.5453,0.996
10.101321154,-0.7016,0.4434,0.5431,0.992
10.103125231,-0.6992,0.4446,0.5436,0.991
10.105465154,-0.6978,0.4448,0.5411,0.989
