time,gFx,gFy,gFz,TgF
5.001777538,0.0346,0.1958,0.9736,0.994
5.002664615,0.0346,0.1986,0.9729,0.994
5.002979077,0.0324,0.1986,0.9743,0.995
5.003237615,0.0337,0.1976,0.9731,0.993
5.003965615,0.0332,0.1990,0.9736,0.994
5.010925923,0.0337,0.1949,0.9760,0.996
5.011277846,0.0319,0.1970,0.9778,0.998
5.011352615,0.0339,0.1986,0.9797,1.000
5.013325846,0.0321,0.1951,0.9851,1.005
5.015765538,0.0334,0.1983,0.9855,1.006
5.018726769,0.0319,0.1946,0.9863,1.006
5.020731154,0.0332,0.1941,0.9872,1.007
5.023440615,0.0353,0.1946,0.9853,1.005
5.026207692,0.0358,0.1958,0.9841,1.004
5.028024077,0.0375,0.1970,0.9831,1.003
5.032132308,0.0414,0.1944,0.9821,1.002
5.032639461,0.0409,0.1956,0.9819,1.002
5.035101308,0.0348,0.1956,0.9795,0.999
5.037563461,0.0368,0.1951,0.9767,0.997
5.040001615,0.0358,0.1944,0.9746,0.994
5.042696,0.0375,0.1939,0.9760,0.996
5.044402154,0.0400,0.1912,0.9783,0.998
5.047231077,0.0412,0.1890,0.9795,0.998
5.049442769,0.0417,0.1883,0.9829,1.002
5.051961231,0.0429,0.1870,0.9860,1.005
5.054092385,0.0421,0.1878,0.9880,1.007
5.056653231,0.0439,0.1883,0.9870,1.006
5.061744,0.0444,0.1848,0.9914,1.009
5.062838154,0.0456,0.1868,0.9919,1.010
5.063422769,0.0446,0.1851,0.9907,1.009
5.065691154,0.0439,0.1863,0.9897,1.008
5.068531077,0.0437,0.1878,0.9916,1.010
5.070669231,0.0439,0.1858,0.9890,1.007
5.073279077,0.0412,0.1881,0.9885,1.007
5.077736923,0.0427,0.1885,0.9880,1.007
5.078844,0.0432,0.1909,0.9872,1.006
5.080424,0.0414,0.1916,0.9870,1.006
5.082793538,0.0427,0.1932,0.9867,1.006
5.085051692,0.0427,0.1941,0.9860,1.006
5.087588923,0.0402,0.1924,0.9878,1.007
5.089850538,0.0419,0.1946,0.9863,1.006
5.098655692,0.0412,0.1953,0.9848,1.005
5.099126769,0.0427,0.1912,0.9878,1.007
5.099407769,0.0434,0.1937,0.9878,1.007
5.099680923,0.0439,0.1924,0.9876,1.007
5.116172385,0.0375,0.1934,0.9892,1.009
5.116520308,0.0385,0.1937,0.9876,1.007
5.116639077,0.0397,0.1953,0.9858,1.006
5.116752615,0.0381,0.1949,0.9863,1.006
5.116858461,0.0400,0.1929,0.9865,1.006
