time,gFx,gFy,gFz,TgF
10.004201001,-0.8800,0.4362,0.1591,0.995
10.005240924,-0.8807,0.4382,0.1591,0.996
10.005616078,-0.8819,0.4374,0.1563,0.997
10.013366462,-0.8814,0.4373,0.1554,0.996
10.014213539,-0.8814,0.4374,0.1566,0.996
10.014337847,-0.8805,0.4382,0.1570,0.996
10.021566462,-0.8786,0.4374,0.1583,0.994
10.022345001,-0.8763,0.4389,0.1593,0.993
10.022556309,-0.8773,0.4362,0.1607,0.993
10.022744001,-0.8810,0.4362,0.1627,0.996
10.022949924,-0.8773,0.4357,0.1627,0.993
10.02483177,-0.8800,0.4373,0.1647,0.996
10.026921001,-0.8783,0.4374,0.1661,0.995
10.029618539,-0.8793,0.4378,0.1666,0.996
10.032380078,-0.8781,0.4385,0.1676,0.996
10.034838539,-0.8814,0.4350,0.1676,0.997
10.037105924,-0.8805,0.4374,0.1691,0.998
10.039622155,-0.8798,0.4392,0.1691,0.998
10.041716309,-0.8798,0.4397,0.1693,0.998
10.044406462,-0.8783,0.4392,0.1703,0.997
10.046370232,-0.8827,0.4411,0.1698,1.001
10.048942462,-0.8770,0.4392,0.1717,0.996
10.050835462,-0.8786,0.4389,0.1742,0.997
10.05401877,-0.8800,0.4409,0.1742,1.000
10.055576386,-0.8803,0.4394,0.1747,0.999
10.058325847,-0.8781,0.4380,0.1747,0.997
10.060610232,-0.8791,0.4385,0.1737,0.998
10.063027386,-0.8807,0.4387,0.1700,0.998
10.065612924,-0.8761,0.4389,0.1663,0.994
10.067557924,-0.8763,0.4385,0.1649,0.994
10.069941616,-0.8758,0.4389,0.1644,0.993
10.072563462,-0.8768,0.4406,0.1642,0.995
10.074899155,-0.8742,0.4387,0.1617,0.991
10.076976924,-0.8749,0.4394,0.1615,0.992
10.079465232,-0.8732,0.4418,0.1612,0.992
10.082025924,-0.8761,0.4380,0.1632,0.993
10.084990539,-0.8768,0.4378,0.1654,0.994
10.088065232,-0.8783,0.4387,0.1661,0.996
10.088745539,-0.8783,0.4411,0.1668,0.997
10.091262155,-0.8793,0.4394,0.1663,0.997
10.093833616,-0.8791,0.4394,0.1684,0.997
10.096523693,-0.8810,0.4418,0.1696,1.000
10.104356001,-0.8832,0.4411,0.1705,1.002
10.106072693,-0.8849,0.4416,0.1696,1.003
10.111726155,-0.8827,0.4436,0.1679,1.002
10.111937539,-0.8839,0.4458,0.1644,1.004
10.112076386,-0.8842,0.4418,0.1627,1.002
10.112210847,-0.8819,0.4406,0.1607,0.999
10.118336616,-0.8827,0.4423,0.1600,1.000
10.118547155,-0.8830,0.4438,0.1568,1.001
10.118635155,-0.8827,0.4409,0.1568,0.999
10.119487693,-0.8810,0.4413,0.1561,0.998
10.12172377,-0.8810,0.4392,0.1573,0.997
10.124474232,-0.8803,0.4404,0.1591,0.997
