time,gFx,gFy,gFz,TgF
1.000243692,-0.8136,0.5098,0.3215,1.013
1.003164846,-0.8265,0.5173,0.3166,1.025
1.004988846,-0.8339,0.5268,0.3149,1.035
1.007587692,-0.8270,0.5247,0.3066,1.026
1.010135615,-0.8218,0.5256,0.3017,1.021
1.013298077,-0.8255,0.5273,0.3047,1.026
1.014956538,-0.8246,0.5298,0.3044,1.026
1.017168923,-0.8218,0.5271,0.3044,1.023
1.021058385,-0.8216,0.5228,0.3063,1.021
1.022727385,-0.8283,0.5191,0.3086,1.025
1.02422,-0.8299,0.5175,0.3147,1.027
1.026645461,-0.8321,0.5140,0.3112,1.026
1.029721846,-0.8343,0.5123,0.3056,1.026
1.031497231,-0.8318,0.5135,0.2976,1.022
1.033873769,-0.8270,0.5103,0.2956,1.016
1.037727077,-0.8241,0.5095,0.2937,1.012
1.039182385,-0.8187,0.5074,0.2870,1.005
1.040476308,-0.8192,0.5056,0.2863,1.004
1.043434461,-0.8202,0.5049,0.2851,1.004
1.045699308,-0.8190,0.5037,0.2861,1.003
1.048479,-0.8190,0.5039,0.2863,1.003
1.050353231,-0.8199,0.5042,0.2895,1.005
1.054962154,-0.8255,0.5049,0.2883,1.010
1.055289769,-0.8267,0.5095,0.2886,1.013
1.057961461,-0.8267,0.5100,0.2873,1.013
1.059765231,-0.8267,0.5123,0.2900,1.015
1.067293461,-0.8278,0.5100,0.2890,1.014
1.067625231,-0.8302,0.5112,0.2895,1.017
1.067757846,-0.8304,0.5124,0.2868,1.017
1.070769154,-0.8302,0.5117,0.2841,1.016
1.071604,-0.8302,0.5132,0.2800,1.015
1.07414,-0.8273,0.5100,0.2772,1.011
1.077263385,-0.8311,0.5132,0.2748,1.015
1.081069461,-0.8331,0.5132,0.2667,1.014
1.081349769,-0.8339,0.5124,0.2632,1.014
1.083805461,-0.8331,0.5103,0.2560,1.010
1.087845461,-0.8343,0.5066,0.2518,1.008
1.088462077,-0.8376,0.5030,0.2478,1.008
1.090719308,-0.8419,0.5022,0.2426,1.010
1.093072615,-0.8404,0.4979,0.2397,1.006
1.095779692,-0.8439,0.4949,0.2392,1.007
1.098219,-0.8409,0.4934,0.2394,1.004
1.100501231,-0.8407,0.4917,0.2382,1.003
1.103975308,-0.8399,0.4870,0.2385,1.000
1.105700231,-0.8426,0.4893,0.2353,1.002
1.107735077,-0.8426,0.4881,0.2306,1.001
1.109948308,-0.8468,0.4841,0.2245,1.001
1.113671308,-0.8470,0.4829,0.2248,1.001
1.114675308,-0.8512,0.4814,0.2282,1.004
1.116972538,-0.8529,0.4793,0.2311,1.005
1.120427308,-0.8541,0.4778,0.2325,1.006
1.121427615,-0.8583,0.4772,0.2341,1.010
1.124212846,-0.8588,0.4797,0.2333,1.011
1.127498769,-0.8612,0.4756,0.2323,1.011
1.128613538,-0.8658,0.4763,0.2345,1.016
1.130997231,-0.8676,0.4756,0.2331,1.016
1.133688846,-0.8698,0.4746,0.2267,1.016
1.136824846,-0.8717,0.4716,0.2182,1.015
1.138530692,-0.8737,0.4729,0.2143,1.016
1.141622692,-0.8756,0.4712,0.2084,1.016
1.142932538,-0.8793,0.4716,0.2079,1.019
1.145363692,-0.8835,0.4725,0.2133,1.024
1.147691615,-0.8907,0.4760,0.2159,1.033
1.149885154,-0.8910,0.4768,0.2274,1.036
1.152417154,-0.8956,0.4776,0.2378,1.042
1.155481231,-0.8977,0.4814,0.2494,1.049
1.157672,-0.9042,0.4853,0.2602,1.059
1.159704538,-0.9098,0.4946,0.2685,1.070
1.167064923,-0.9182,0.5039,0.2753,1.083
1.167780615,-0.9262,0.5142,0.2837,1.097
1.167877231,-0.9333,0.5224,0.2870,1.107
1.169066385,-0.9375,0.5298,0.2900,1.115
1.171295385,-0.9350,0.5335,0.2927,1.116
1.173756,-0.9340,0.5379,0.2993,1.119
1.176658462,-0.9311,0.5384,0.3061,1.118
1.178609154,-0.9301,0.5410,0.3095,1.120
1.181055615,-0.9333,0.5464,0.3161,1.127
1.183377538,-0.9389,0.5522,0.3235,1.136
1.186353538,-0.9404,0.5538,0.3289,1.140
1.188524923,-0.9476,0.5545,0.3326,1.147
1.190587,-0.9492,0.5513,0.3361,1.148
1.194480615,-0.9494,0.5484,0.3382,1.147
1.195342462,-0.9504,0.5428,0.3406,1.146
1.197432923,-0.9520,0.5379,0.3447,1.147
1.199464231,-0.9525,0.5364,0.3474,1.147
1.219158385,-0.9567,0.5354,0.3508,1.151
1.219422692,-0.9594,0.5379,0.3501,1.154
1.219494077,-0.9653,0.5389,0.3510,1.160
1.219545462,-0.9774,0.5450,0.3535,1.174
1.219605462,-0.9929,0.5506,0.3525,1.189
1.219656231,-1.0046,0.5596,0.3510,1.202
1.219708,-1.0144,0.5652,0.3474,1.212
1.219759692,-1.0232,0.5748,0.3398,1.222
1.220989231,-1.0315,0.5792,0.3296,1.228
1.223323692,-1.0415,0.5867,0.3203,1.238
1.225706077,-1.0571,0.5906,0.3083,1.250
1.228135077,-1.0689,0.5906,0.2993,1.257
1.230653154,-1.0843,0.5938,0.2878,1.269
1.232853231,-1.0948,0.5953,0.2778,1.277
1.235277538,-1.1118,0.5897,0.2676,1.287
1.245395308,-1.1211,0.5899,0.2607,1.293
1.246056,-1.1253,0.5869,0.2487,1.293
1.246377154,-1.1309,0.5813,0.2316,1.293
1.246763692,-1.1344,0.5757,0.2184,1.291
1.247145846,-1.1329,0.5701,0.2087,1.285
1.249563385,-1.1278,0.5584,0.2020,1.275
1.280886692,-1.1211,0.5528,0.1947,1.265
1.2812,-1.1131,0.5491,0.1857,1.255
1.281297462,-1.1078,0.5494,0.1747,1.249
1.281435077,-1.0985,0.5452,0.1684,1.238
1.281535923,-1.0848,0.5457,0.1639,1.225
1.281622769,-1.0691,0.5428,0.1632,1.210
1.281696538,-1.0540,0.5445,0.1622,1.197
1.281794692,-1.0356,0.5459,0.1566,1.181
1.281877538,-1.0200,0.5447,0.1575,1.167
1.282018692,-1.0078,0.5469,0.1556,1.157
1.282346769,-0.9914,0.5518,0.1519,1.145
1.282427077,-0.9765,0.5552,0.1486,1.133
1.282488,-0.9631,0.5596,0.1490,1.124
1.282587615,-0.9450,0.5650,0.1563,1.112
