gFx,gFy,gFz
-0.038752811781513435,-0.19418180634987947,-0.9760357918853316
-0.032806233170819085,-0.19681923989510275,-0.9822324966137376
-0.037833816348415185,-0.194637361112684,-0.9806164002550003
-0.04276128602710563,-0.1872117023003325,-0.9849488394597681
-0.04325647932194078,-0.18896772951085353,-0.9905543256101944
-0.041308549399360704,-0.19407193026964503,-0.9850540565806771
-0.03763332128911216,-0.19412385488476777,-0.989153937537904
-0.03486375626933302,-0.19319118750688072,-0.9828773187827424
-0.030530913140205576,-0.19346287922764846,-0.9867452548356503
-0.03670497964758363,-0.199148728871932,-0.9800157980498927
-0.04161215968395026,-0.19562016193382076,-0.9829429448948546
-0.03962536112364253,-0.1971020080365044,-0.9773014078910519
-0.038554994529368294,-0.1999360619007014,-0.9732055594200089
-0.034677764051012056,-0.2039163158345593,-0.9806047557699984
-0.03227400290123027,-0.2038110879252475,-0.9852747395200679
-0.03059356425821742,-0.1978417832945976,-0.9852885296518973
-0.03460376021317684,-0.19309159076232954,-0.9823071326386134
-0.03969055847549052,-0.19318634916460511,-0.9790916975740137
-0.04511206081524678,-0.19342229230107155,-0.9785277199212059
-0.04275292788737322,-0.19481410009570782,-0.9787375481215715
-0.03876949500660334,-0.19714809355701807,-0.978950499904325
-0.03547468765899698,-0.1972332073186385,-0.9705904849012531
-0.036043536878021074,-0.19549843138716969,-0.9730497580819188
-0.037674887465932054,-0.19552082159174822,-0.974187434605081
-0.03819926273441664,-0.19790060021696512,-0.977115643316136
-0.03694370972828391,-0.197653729613927,-0.9776746365884202
-0.03883318077809796,-0.19826675096050328,-0.9801778534417698
-0.038319462347866845,-0.19707833096354443,-0.981541010398553
-0.037046209821102884,-0.19841325578948865,-0.9814991777782078
-0.03916372437534204,-0.19969078682902427,-0.9792435434686414
-0.04204826937806002,-0.19594643393126668,-0.9880307470411785
-0.04345960971136078,-0.1955377897288921,-0.9883739624948775
-0.04453686720343101,-0.19532384311091547,-0.983778464378699
-0.04019045749411626,-0.19911691264923426,-0.974570983132769
-0.036330958361143695,-0.19851268052354654,-0.9746975340756525
-0.03648433868329311,-0.19743627279270565,-0.9794185710056852
-0.0417141516920536,-0.1937321132854528,-0.9909401379588252
-0.035075167093029144,-0.19443101974618682,-0.9824776650117438
-0.041030815820221694,-0.19110665467610385,-0.9791851255635245
-0.04092933602305233,-0.1929881803927226,-0.9755405772322707
-0.036696780050351985,-0.19662551305836615,-0.9801260427574182
-0.0316411657017796,-0.20093723814580206,-0.9816953916234157
-0.030875837890446504,-0.19388545486790637,-0.9762803146279544
-0.03584209074904427,-0.19486374463922138,-0.9780198458503968
-0.043611855799852266,-0.189437462625514,-0.9867947672009563
-0.04792753474563081,-0.18800427197572206,-0.9824644156377919
-0.04668242349997967,-0.18976507279041693,-0.9858221609763416
-0.04285475137192272,-0.19503104744914343,-0.984803789082675
-0.03745399171652801,-0.19487127330476872,-0.9886959650132825
-0.033980369828956795,-0.1911927878419396,-0.9850313956355227
-0.03602858404738957,-0.18789036500243644,-0.9780050006315264
-0.04077619343157952,-0.19421041542832732,-0.980284224772052
-0.043160620069659844,-0.19515870415194553,-0.98360941683344
-0.040153630730853526,-0.19244882150167372,-0.9833703115132275
-0.040765368234694004,-0.19493275179027053,-0.9766391846412185
-0.03980981425250858,-0.19665611372400432,-0.9824519246314453
-0.03774626168975939,-0.19517318266219283,-0.9879224851160103
-0.03428103633949127,-0.1943493262280975,-0.9865098996713346
-0.0393707100963597,-0.19134493581871623,-0.9809412204094263
-0.04192475495844714,-0.18776725273513958,-0.9842676584680901
-0.04320315054322704,-0.18634672722071272,-0.9844214948536151
-0.042461395500757365,-0.1897777717488159,-0.9803704065287415
-0.039182790827247044,-0.19197193311053787,-0.9805312114920853
-0.03759400012212719,-0.19388181940290092,-0.9822824568551682
-0.03781309206019647,-0.19191587315981856,-0.9850679142980421
-0.036441893050443465,-0.19204186712638627,-0.9830256120246027
-0.03966151569344706,-0.19048878543413,-0.9826117131998069
-0.0378250525881369,-0.19123827308850214,-0.9799378954697883
-0.035186079347173466,-0.18901071370245787,-0.9843556419339687
-0.039712814113795,-0.19153557435799767,-0.9833634469466862
-0.04111046871315631,-0.1929930749846462,-0.981781804737571
-0.04113467595977676,-0.19372537733800002,-0.9776489497454612
-0.03855491533750433,-0.19328450947268397,-0.9814162941393001
-0.04044677056436616,-0.19014697870329691,-0.9888060107516209
-0.045769981362140305,-0.1892199885467316,-0.9849232222426425
-0.03869685829457298,-0.18507199736352936,-0.9826396824479433
-0.03717501455648317,-0.1908266651181516,-0.974239089897333
-0.04240822748512429,-0.19195319287995447,-0.9914287896975644
-0.04119457115813596,-0.19104356366547715,-0.9800394881992404
-0.036452605992921966,-0.19231673910702524,-0.9769236344182959
-0.037618820330125355,-0.19099373234730035,-0.9791144433263689
-0.03274732029093364,-0.18959918138503676,-0.9731128639948435
-0.03762300892661308,-0.18802720524908922,-0.9792570842762688
-0.04081018850145446,-0.18721462669824587,-0.9805657223964331
-0.04602930261123374,-0.18595186834921357,-0.9895793692866396
-0.046449669217057066,-0.1870839084581058,-0.9903561579108233
-0.04491103866790062,-0.18886309930669182,-0.9833407390396692
-0.041220509474351526,-0.18865655527842484,-0.9862973822918695
-0.0386617308395367,-0.18571477725283264,-0.9878766283088937
-0.03666575188567209,-0.18452917511453729,-0.9806781794377287
-0.040842127848387595,-0.1867667521263809,-0.9806849563513228
-0.042047452681113665,-0.18627258164038038,-0.9858693595617826
-0.04371965285893996,-0.19075494373317342,-0.9794544769249324
-0.0397156420746503,-0.1922209933783268,-0.9834766826021908
-0.04041013332541732,-0.19429815941043213,-0.9800192698046074
-0.03754493527664787,-0.1922167486867207,-0.9893311336213119
-0.03687708445234533,-0.1888609908352733,-0.9841954835550102
-0.03701805585514687,-0.1833349815392181,-0.9784100191144244
-0.04360138516085415,-0.18500333995381235,-0.9839134258727094
-0.044636939819349075,-0.18609599481106864,-0.9857643944005265
-0.04473446436290057,-0.18492643415323318,-0.984915727625568
-0.04137809440635122,-0.18698781474541354,-0.985665372484971
-0.03878373567981965,-0.18674865391202433,-0.980639266547024
-0.03856096621657418,-0.1879422696339948,-0.9832072359132498
-0.03997838764410271,-0.1894033905621253,-0.9810933539608624
-0.04006339389179412,-0.1868788367127153,-0.9819643717839669
-0.04064994880776388,-0.18941996362079458,-0.9814981530330629
-0.041135583174909146,-0.18614817843108084,-0.9801918588021611
-0.04132879533554813,-0.1868866488611098,-0.9805524378320963
-0.04122292521905709,-0.188626168649688,-0.980121748328963
-0.04210166617744241,-0.18528526770248216,-0.9857575632131302
-0.03853077484360151,-0.18555763190188157,-0.9871459389359323
-0.03754072911677125,-0.190807128170866,-0.9788838925195853
-0.039876906514355354,-0.18814844727568675,-0.9923200286986871
-0.04675066136513589,-0.18718929369951695,-0.9922460603694021
-0.04320592270970079,-0.1879565170433011,-0.9836938254487171
-0.035001297558449336,-0.18698825009767925,-0.9819916250769135
-0.039150518026478134,-0.1911090709638127,-0.9845858617593906
-0.03897847749234454,-0.18968336067444852,-0.9890442145568317
-0.03441251420109285,-0.19117459949217883,-0.9746014917641809
-0.034883269855858434,-0.19060726171432907,-0.9790432234416322
