time,gFx,gFy,gFz,TgF
35.764761975,-0.9699,-0.0704,0.2894,1.015
35.774471628,-0.9582,-0.0469,0.3051,1.007
35.784530744,-0.9464,-0.0509,0.3051,0.996
35.795130051,-0.9152,-0.0547,0.2699,0.956
35.805316013,-0.9307,-0.0744,0.2503,0.967
35.815274051,-0.9269,-0.0821,0.2425,0.962
35.825643128,-0.9739,-0.0704,0.2503,1.008
35.835516359,-0.9816,-0.0626,0.2816,1.023
35.845577821,-0.9973,-0.0665,0.3129,1.047
35.855543205,-0.9621,-0.0782,0.2894,1.008
35.866044475,-0.9464,-0.0587,0.2777,0.988
35.876043936,-0.9425,-0.0744,0.2777,0.985
35.887415282,-0.9777,-0.0744,0.2777,1.019
35.896218282,-0.9659,-0.1017,0.2816,1.011
35.906410667,-0.9699,-0.0744,0.2777,1.012
35.916859513,-0.9699,-0.0704,0.2816,1.012
35.926537821,-0.9699,-0.0587,0.2737,1.009
35.936683705,-0.9582,-0.0704,0.2777,1.000
35.947308398,-0.9856,-0.0626,0.3011,1.032
35.957115782,-0.9582,-0.0665,0.2816,1.001
35.967931898,-0.9816,-0.0704,0.2894,1.026
35.977039705,-0.9934,-0.0821,0.2894,1.038
35.987359398,-0.9739,-0.0782,0.2777,1.016
35.997476244,-0.9739,-0.0626,0.2972,1.020
36.007427897,-0.9542,-0.0587,0.2894,0.999
36.018832897,-0.9542,-0.0665,0.2894,0.999
36.028558128,-0.9542,-0.0744,0.2972,1.002
36.037866897,-0.9307,-0.0587,0.2934,0.978
36.048650667,-0.9542,-0.0547,0.2777,0.995
36.05880059,-0.9347,-0.0665,0.2894,0.981
36.071536628,-0.9347,-0.0744,0.2816,0.979
36.078588244,-0.9425,-0.0861,0.2855,0.989
36.088417705,-0.9621,-0.0665,0.2542,0.997
36.099592244,-0.9542,-0.0821,0.2894,1.001
36.109440436,-0.9386,-0.0782,0.2777,0.982
36.11942932,-0.9856,-0.0744,0.3089,1.036
36.129417705,-0.9856,-0.0704,0.3011,1.033
36.139273667,-0.9739,-0.0665,0.3168,1.026
36.150246013,-0.9659,-0.0704,0.3089,1.017
36.159646897,-0.9386,-0.0704,0.3051,0.989
36.170068897,-0.9464,-0.0665,0.3051,0.997
36.180318667,-0.9504,-0.0665,0.2855,0.995
36.190215282,-0.9464,-0.0665,0.2934,0.993
36.203047167,-0.9504,-0.0782,0.2816,0.994
36.210875743,-0.9856,-0.0861,0.2894,1.031
36.220773013,-0.9659,-0.0744,0.3051,1.016
36.230537667,-0.9739,-0.0744,0.2894,1.019
