time,gFx,gFy,gFz,TgF
3.560015959,-0.9777,-0.0235,0.2385,1.007
3.569770612,-0.9856,0.0235,0.3793,1.056
3.580211766,-0.9699,0.0274,0.4380,1.065
3.590088074,-0.9307,0.0861,0.3989,1.016
3.601678228,-0.8800,0.0430,0.3402,0.944
3.610534497,-0.8643,0.0312,0.2855,0.911
3.620570151,-0.8995,0.0195,0.2542,0.935
3.630971574,-0.9269,0.0117,0.2582,0.962
3.640781382,-0.9347,0.0000,0.2737,0.974
3.65099342,-0.9973,0.0117,0.3168,1.047
3.661304535,-1.0051,0.0157,0.3441,1.062
3.671278343,-0.9973,0.0040,0.3324,1.051
3.681539228,-0.9621,0.0078,0.3324,1.018
3.691140689,-0.9464,0.0078,0.3246,1.001
3.701537689,-0.9269,0.0078,0.3168,0.980
3.711975997,-0.9269,0.0352,0.3168,0.980
3.721823228,-0.9504,0.0312,0.3246,1.005
3.732564074,-0.9386,0.0392,0.3286,0.995
3.742194843,-0.9386,0.0274,0.3286,0.995
3.752097728,-0.9621,0.0235,0.3441,1.022
3.762415766,-0.9582,0.0274,0.3364,1.016
3.772557843,-0.9504,0.0235,0.3246,1.005
3.784283689,-0.9464,0.0195,0.3207,0.999
3.792900535,-0.9659,0.0312,0.3402,1.025
3.802699689,-0.9504,0.0117,0.3481,1.012
3.812767881,-0.9112,0.0157,0.3246,0.967
3.823032535,-0.9386,0.0430,0.3364,0.998
3.833132651,-0.9269,0.0117,0.3246,0.982
3.843714228,-0.9542,0.0157,0.3402,1.013
3.853589304,-0.9464,0.0195,0.3364,1.005
3.864223728,-0.9659,0.0195,0.3364,1.023
3.873905266,-0.9699,0.0040,0.3246,1.023
3.883950304,-0.9699,0.0235,0.3207,1.022
3.894649497,-0.9542,0.0195,0.3246,1.008
3.904223804,-0.9347,0.0352,0.3364,0.994
3.914499612,-0.9112,0.0352,0.3441,0.975
3.924545612,-0.9307,0.0469,0.3364,0.991
3.93456792,-0.9307,0.0274,0.3402,0.991
3.944989189,-0.9425,0.0274,0.3168,0.995
3.955147304,-0.9504,0.0312,0.3286,1.006
3.965099227,-0.9464,0.0000,0.2972,0.992
3.975403804,-0.9621,0.0235,0.3129,1.012
3.985245574,-0.9739,0.0117,0.3129,1.023
3.996313612,-0.9542,0.0235,0.3286,1.009
4.006076189,-0.9542,0.0509,0.3519,1.018
4.015954574,-0.9307,0.0469,0.3441,0.993
4.026320535,-0.9112,0.0312,0.3441,0.975
4.036418112,-0.8800,0.0469,0.3441,0.946
4.04620292,-0.9190,0.0392,0.3402,0.981
4.056194535,-0.9621,0.0274,0.3286,1.017
4.066911266,-0.9699,-0.0312,0.3168,1.021
4.076473035,-0.9856,-0.0274,0.3364,1.042
4.087140689,-0.9739,-0.0157,0.3402,1.032
4.096433497,-0.9739,0.0078,0.3207,1.025
4.10713842,-0.9621,0.0274,0.3364,1.020
4.11697042,-0.9386,0.0469,0.3481,1.002
4.128302497,-0.9504,0.0547,0.3519,1.015
4.13728615,-0.9347,0.0547,0.3402,0.996
4.147750612,-0.9464,0.0352,0.3441,1.008
4.157928035,-0.9504,0.0157,0.3324,1.007
4.167918073,-0.9699,0.0352,0.3207,1.022
4.180766997,-0.9816,0.0352,0.3089,1.030
4.187572112,-0.9777,0.0157,0.3129,1.027
4.198123727,-0.9582,0.0117,0.2972,1.003
4.208099189,-0.9582,0.0157,0.2972,1.003
4.218881997,-0.9659,0.0195,0.2894,1.009
4.228736881,-0.9659,0.0235,0.2777,1.005
4.238644266,-0.9621,0.0195,0.2816,1.003
4.248932304,-0.9699,0.0195,0.3207,1.022
4.259740112,-0.9464,0.0157,0.3286,1.002
4.26923142,-0.9425,0.0274,0.3286,0.998
4.279094227,-0.9582,0.0274,0.3129,1.008
4.289772535,-0.9777,0.0117,0.3129,1.027
4.299554958,-0.9739,0.0078,0.2737,1.012
4.309697343,-0.9973,0.0078,0.2582,1.030
4.320131189,-1.0246,-0.0078,0.2737,1.061
4.330638112,-1.0168,-0.0117,0.2855,1.056
4.340516343,-0.9934,-0.0235,0.2972,1.037
4.350531689,-0.9542,-0.0157,0.2934,0.998
4.360118112,-0.9582,0.0040,0.3089,1.007
