time,gFx,gFy,gFz,TgF
66.424825645,-0.9582,-0.0509,0.3051,1.007
66.429197799,-0.9856,-0.0704,0.3089,1.035
66.439328068,-0.9504,-0.0704,0.3011,0.999
66.45006403,-0.9621,-0.0704,0.3129,1.014
66.460612184,-0.9582,-0.0744,0.3129,1.011
66.470031453,-0.9386,-0.0782,0.3089,0.991
66.479914914,-0.9699,-0.0861,0.2894,1.016
66.489982645,-0.9542,-0.0665,0.2934,1.000
66.500271414,-0.9386,-0.0626,0.3207,0.994
66.511070068,-0.9269,-0.0665,0.3168,0.982
66.520466607,-0.9073,-0.0744,0.3011,0.959
66.530554607,-0.9269,-0.0665,0.3051,0.978
66.54071803,-0.9542,-0.0704,0.3089,1.005
66.550770337,-0.9425,-0.0782,0.2972,0.991
66.56135676,-0.9347,-0.0665,0.2972,0.983
66.570956799,-0.9504,-0.0704,0.3089,1.002
66.582080914,-0.9386,-0.0704,0.3089,0.991
66.596190683,-0.9425,-0.0665,0.3129,0.995
66.601726491,-0.9504,-0.0704,0.3011,0.999
66.612198953,-0.9504,-0.0744,0.2699,0.991
66.621818222,-0.9621,-0.0704,0.2855,1.006
66.631780645,-0.9425,-0.0744,0.2777,0.985
66.642915222,-0.9386,-0.0704,0.2659,0.978
66.652693376,-0.9386,-0.0861,0.2737,0.982
66.663239606,-0.9425,-0.0899,0.2582,0.981
66.672832606,-0.9425,-0.0899,0.2425,0.977
66.682686068,-0.9699,-0.0821,0.2464,1.004
66.693842068,-0.9542,-0.0821,0.2347,0.986
66.703205376,-0.9542,-0.0899,0.2385,0.988
66.71314126,-0.9699,-0.0861,0.2425,1.003
66.727181376,-0.9386,-0.0782,0.2425,0.973
66.733396337,-0.9739,-0.0744,0.2230,1.002
66.743749029,-0.9621,-0.0626,0.2190,0.989
66.753875991,-0.9504,-0.0744,0.1721,0.969
66.763577068,-0.9425,-0.0782,0.1760,0.962
66.774695029,-0.9542,-0.0821,0.1760,0.974
66.784540991,-0.9425,-0.0782,0.1995,0.967
66.794408106,-0.9425,-0.0704,0.2230,0.971
66.804983029,-0.9621,-0.0782,0.2385,0.994
66.814677376,-0.9739,-0.0821,0.2151,1.001
66.825006414,-0.9973,-0.0744,0.1916,1.018
66.834873837,-0.9973,-0.0782,0.1408,1.010
66.845120799,-0.9934,-0.0861,0.1643,1.011
66.858840452,-0.9777,-0.0939,0.1564,0.995
66.865398414,-0.9504,-0.1056,0.1995,0.977
66.875975452,-0.9347,-0.0978,0.1878,0.958
66.885593799,-0.8917,-0.1173,0.1798,0.917
66.895473952,-0.8838,-0.1056,0.1995,0.912
66.906615106,-0.9112,-0.0899,0.2033,0.938
66.915959606,-0.8800,-0.0861,0.1916,0.905
66.926545452,-0.9034,-0.0704,0.1916,0.926
66.936359952,-0.8838,-0.0821,0.1643,0.903
66.946134452,-0.9112,-0.1056,0.1096,0.924
66.956807452,-0.8917,-0.0939,0.0782,0.900
66.966946683,-0.9073,-0.1017,0.0587,0.915
66.976834875,-0.9230,-0.1017,0.0782,0.932
66.988648875,-0.8603,-0.1173,0.0782,0.872
66.997237337,-0.8760,-0.0939,0.0978,0.886
67.00796476,-0.8955,-0.1017,0.1017,0.907
67.018114683,-0.9425,-0.0899,0.0978,0.952
67.027976568,-0.9307,-0.0978,0.0744,0.939
67.037713029,-0.9464,-0.0978,0.0587,0.953
67.04768326,-0.9386,-0.0978,0.0430,0.945
67.057918145,-0.8878,-0.1251,0.0469,0.898
67.067972491,-0.8369,-0.1486,0.0939,0.855
67.078273375,-0.8486,-0.1643,0.1212,0.873
67.088026875,-0.8486,-0.1643,0.0939,0.869
67.098863068,-0.8448,-0.1603,0.0899,0.865
67.108588222,-0.8017,-0.2033,0.1369,0.838
67.120418491,-0.8330,-0.2033,0.1134,0.865
67.128512337,-0.8330,-0.2151,0.0782,0.864
67.13873676,-0.8251,-0.2268,0.0469,0.857
67.149495298,-0.8369,-0.2347,0.0392,0.870
67.158983183,-0.7899,-0.2464,0.0312,0.828
67.170240529,-0.7744,-0.2230,0.0704,0.809
67.179555721,-0.7666,-0.2190,0.0547,0.799
67.190186606,-0.7626,-0.2033,0.0744,0.793
67.200254029,-0.7861,-0.2151,0.0392,0.816
67.210146298,-0.7821,-0.2503,0.0587,0.823
67.219858183,-0.7666,-0.2582,0.0392,0.810
67.230585029,-0.7392,-0.2582,0.0782,0.787
67.240232529,-0.7196,-0.2699,0.1017,0.775
67.251324529,-0.7469,-0.2737,0.1056,0.802
67.260230529,-0.7666,-0.2737,0.1096,0.821
67.270793683,-0.7704,-0.2894,0.1173,0.831
67.281341798,-0.7469,-0.3168,0.1017,0.818
67.291288144,-0.7704,-0.3168,0.0978,0.839
67.301543221,-0.7939,-0.3129,0.0978,0.859
67.311141568,-0.7744,-0.3246,0.1056,0.846
67.321059068,-0.7666,-0.3168,0.1564,0.844
67.331446375,-0.7196,-0.3051,0.1603,0.798
67.341462337,-0.6844,-0.2894,0.1212,0.753
67.351504721,-0.7196,-0.3051,0.1408,0.794
67.361719452,-0.7314,-0.3324,0.1329,0.814
67.371992414,-0.7587,-0.3441,0.0665,0.836
67.382734183,-0.7626,-0.3402,0.0744,0.838
67.392370414,-0.7352,-0.3207,0.0939,0.808
67.402322337,-0.6570,-0.3168,0.0195,0.730
67.412402991,-0.6453,-0.2934,0.0157,0.709
67.422304683,-0.6883,-0.2699,0.0195,0.740
67.435578491,-0.7274,-0.2659,0.0078,0.775
67.442806914,-0.7782,-0.2699,-0.0078,0.824
67.453031067,-0.7626,-0.2699,-0.0157,0.809
67.463125606,-0.7861,-0.3011,-0.0235,0.842
67.47301926,-0.7704,-0.2659,-0.0078,0.815
67.483009567,-0.7431,-0.2620,0.0274,0.788
67.49345349,-0.7392,-0.2151,0.0274,0.770
67.503592644,-0.6962,-0.2268,0.0117,0.732
67.513820721,-0.7040,-0.2855,0.0000,0.760
67.523516837,-0.7548,-0.3089,-0.0469,0.817
67.534271414,-0.8017,-0.3246,-0.0587,0.867
67.544152606,-0.8369,-0.3364,-0.0665,0.904
67.55462126,-0.8800,-0.3246,-0.0665,0.940
67.569807337,-0.9307,-0.3129,-0.0587,0.984
67.57470749,-0.9856,-0.2972,-0.0626,1.031
67.584679837,-0.9582,-0.2777,-0.0861,1.001
67.594782952,-1.0089,-0.2855,-0.0782,1.051
67.605160567,-1.0403,-0.2816,-0.0704,1.080
67.614982413,-1.0520,-0.2894,-0.0899,1.095
67.625725106,-1.0559,-0.3402,-0.1096,1.115
67.635541106,-0.9739,-0.3441,-0.1603,1.045
67.645887837,-0.9307,-0.3324,-0.1564,1.001
67.655428606,-0.8995,-0.3402,-0.1798,0.978
67.665895683,-0.9112,-0.3364,-0.1643,0.985
67.675780221,-0.9190,-0.3246,-0.1291,0.983
67.686218183,-0.9152,-0.3051,-0.1017,0.970
