time,gFx,gFy,gFz,TgF
1.002770154,-1.2465,0.7150,0.2269,1.455
1.003895462,-1.2543,0.7157,0.2262,1.462
1.006788923,-1.2606,0.7128,0.2285,1.466
1.009289,-1.2641,0.7123,0.2262,1.469
1.011314462,-1.2651,0.7104,0.2280,1.469
1.017693308,-1.2704,0.7136,0.2269,1.475
1.018801539,-1.2751,0.7111,0.2260,1.477
1.019262154,-1.2690,0.7082,0.2231,1.470
1.020609539,-1.2636,0.6999,0.2226,1.462
1.027607154,-1.2482,0.6964,0.2243,1.447
1.027876385,-1.2369,0.6920,0.2273,1.435
1.027955077,-1.2196,0.6918,0.2280,1.421
1.029582462,-1.2013,0.6915,0.2318,1.405
1.031901616,-1.1791,0.6896,0.2325,1.386
1.034891462,-1.1634,0.6896,0.2323,1.372
1.036811769,-1.1446,0.6931,0.2287,1.357
1.039374846,-1.1218,0.6943,0.2273,1.339
1.042488,-1.0992,0.7008,0.2243,1.323
1.043977846,-1.0757,0.6989,0.2206,1.302
1.046920693,-1.0505,0.7011,0.2169,1.281
1.048861,-1.0268,0.7045,0.2108,1.263
1.057963077,-1.0002,0.7055,0.2059,1.241
1.058495077,-0.9727,0.7074,0.1991,1.219
1.058985539,-0.9516,0.7096,0.1952,1.203
1.059260385,-0.9279,0.7074,0.1940,1.183
1.061504923,-0.9035,0.7069,0.1922,1.163
1.063454154,-0.8830,0.7082,0.1942,1.148
1.065927154,-0.8656,0.7071,0.1996,1.135
1.069959693,-0.8490,0.7020,0.2013,1.120
1.070588077,-0.8287,0.7026,0.2013,1.105
1.072528308,-0.8129,0.6971,0.1971,1.089
1.075501308,-0.7950,0.6898,0.1942,1.070
1.077402462,-0.7791,0.6874,0.1935,1.057
1.080495693,-0.7622,0.6808,0.1957,1.041
1.082105,-0.7419,0.6728,0.1976,1.021
1.084885231,-0.7234,0.6686,0.1986,1.005
1.087049616,-0.7093,0.6642,0.1994,0.992
1.089334769,-0.6953,0.6593,0.1957,0.978
1.091695077,-0.6850,0.6566,0.1910,0.968
1.093978231,-0.6731,0.6488,0.1905,0.954
1.096604693,-0.6641,0.6444,0.1881,0.944
1.099387385,-0.6538,0.6393,0.1886,0.934
1.103190231,-0.6476,0.6312,0.1866,0.923
1.104909846,-0.6252,0.6070,0.1820,0.890
1.105887385,-0.6375,0.6188,0.1957,0.910
1.108385846,-0.6308,0.6148,0.1823,0.900
1.111387462,-0.6298,0.6080,0.1759,0.893
1.118516616,-0.6435,0.6144,0.1725,0.906
1.119150231,-0.6585,0.6185,0.1668,0.919
1.119387154,-0.6767,0.6263,0.1676,0.937
1.121359385,-0.6907,0.6324,0.1764,0.953
1.123907462,-0.7004,0.6388,0.1866,0.966
1.129592385,-0.7056,0.6419,0.1969,0.974
1.130006154,-0.7132,0.6439,0.2094,0.983
1.130100693,-0.7230,0.6495,0.2159,0.996
1.131971154,-0.7339,0.6554,0.2199,1.008
1.134530154,-0.7466,0.6661,0.2184,1.024
1.136554769,-0.7603,0.6764,0.2118,1.039
1.138943462,-0.7759,0.6879,0.2054,1.057
1.141743077,-0.7887,0.6977,0.1971,1.071
1.143950539,-0.8077,0.7064,0.1942,1.090
1.147111077,-0.8211,0.7143,0.1877,1.104
1.148262231,-0.8306,0.7155,0.1823,1.111
1.151123462,-0.8411,0.7143,0.1824,1.118
1.153119154,-0.8516,0.7108,0.1796,1.124
1.155697308,-0.8627,0.7111,0.1742,1.131
1.158194231,-0.8742,0.7038,0.1700,1.135
1.160432923,-0.8819,0.7024,0.1637,1.139
1.163391693,-0.8879,0.7033,0.1534,1.143
1.165996923,-0.8949,0.7020,0.1449,1.147
1.167376,-0.9047,0.6966,0.1334,1.150
1.169932923,-0.9133,0.6952,0.1258,1.155
1.172930231,-0.9215,0.6935,0.1211,1.160
1.174788,-0.9311,0.6854,0.1223,1.163
1.176871385,-0.9382,0.6745,0.1253,1.162
1.179503462,-0.9411,0.6647,0.1304,1.160
1.181534462,-0.9404,0.6519,0.1363,1.152
1.183509231,-0.9396,0.6419,0.1385,1.146
1.186876616,-0.9343,0.6358,0.1449,1.139
1.189527769,-0.9294,0.6309,0.1493,1.133
1.192039154,-0.9254,0.6295,0.1546,1.130
1.193908693,-0.9206,0.6268,0.1588,1.125
1.196035154,-0.9159,0.6256,0.1624,1.121
1.198879077,-0.9098,0.6261,0.1673,1.117
1.200794539,-0.9000,0.6293,0.1740,1.112
1.203205846,-0.8935,0.6305,0.1756,1.108
1.205543693,-0.8879,0.6281,0.1798,1.102
1.208208693,-0.8791,0.6326,0.1879,1.099
1.210298231,-0.8670,0.6365,0.1922,1.093
1.218169616,-0.8609,0.6449,0.1950,1.093
1.218922539,-0.8551,0.6559,0.2013,1.096
1.219252693,-0.8483,0.6647,0.2040,1.097
1.221065231,-0.8416,0.6757,0.2089,1.099
1.225571693,-0.8339,0.6874,0.2167,1.102
1.225837231,-0.8280,0.6987,0.2245,1.106
1.230444,-0.8194,0.7133,0.2325,1.111
1.230748385,-0.8106,0.7189,0.2385,1.109
1.231514462,-0.8011,0.7311,0.2443,1.112
1.235768308,-0.7924,0.7411,0.2465,1.113
1.236360693,-0.7828,0.7507,0.2482,1.113
1.239336,-0.7757,0.7600,0.2490,1.114
1.241397539,-0.7652,0.7688,0.2458,1.112
1.243774539,-0.7571,0.7793,0.2429,1.113
1.246025846,-0.7481,0.7868,0.2382,1.111
1.248459462,-0.7349,0.7898,0.2374,1.105
1.250560077,-0.7217,0.7930,0.2343,1.098
1.252709231,-0.7125,0.7956,0.2323,1.093
1.255561923,-0.6980,0.7968,0.2280,1.084
1.257996693,-0.6902,0.7966,0.2236,1.077
1.260380385,-0.6806,0.7959,0.2169,1.069
1.262329,-0.6787,0.7968,0.2111,1.068
1.264814769,-0.6750,0.7910,0.2064,1.060
1.267610462,-0.6716,0.7839,0.2022,1.052
1.269622846,-0.6660,0.7768,0.1989,1.042
