time,gFx,gFy,gFz,TgF
2.000673539,-0.7698,0.3954,0.1172,0.873
2.008525847,-0.7779,0.3989,0.1202,0.882
2.008651693,-0.7820,0.4026,0.1229,0.888
2.008756308,-0.7831,0.4050,0.1246,0.890
2.008861,-0.7826,0.4071,0.1280,0.891
2.009037,-0.7850,0.4066,0.1339,0.894
2.011611693,-0.7879,0.4089,0.1351,0.898
2.012404308,-0.7852,0.4106,0.1434,0.898
2.015718462,-0.7852,0.4103,0.1468,0.898
2.017116385,-0.7887,0.4133,0.1478,0.903
2.019361847,-0.7826,0.4108,0.1493,0.896
2.021776924,-0.7813,0.4135,0.1463,0.896
2.02435077,-0.7810,0.4159,0.1412,0.896
2.027355462,-0.7820,0.4135,0.1341,0.895
2.029262154,-0.7820,0.4133,0.1275,0.894
2.031562462,-0.7801,0.4140,0.1221,0.892
2.034007385,-0.7764,0.4115,0.1190,0.887
2.036230154,-0.7759,0.4135,0.1163,0.887
2.038644308,-0.7774,0.4115,0.1153,0.887
2.040456308,-0.7806,0.4115,0.1146,0.890
2.043802154,-0.7843,0.4111,0.1146,0.893
2.045764693,-0.7901,0.4125,0.1146,0.899
2.050488616,-0.7926,0.4152,0.1195,0.903
2.051222154,-0.7908,0.4123,0.1188,0.900
2.05279177,-0.7889,0.4125,0.1221,0.899
2.055279693,-0.7926,0.4131,0.1270,0.903
2.057669539,-0.7936,0.4115,0.1278,0.903
2.062816616,-0.7936,0.4108,0.1302,0.903
2.063777924,-0.7984,0.4076,0.1334,0.906
2.064818231,-0.8011,0.4054,0.1334,0.908
2.06792777,-0.8038,0.4069,0.1349,0.911
2.070779385,-0.8057,0.4071,0.1353,0.913
2.072525924,-0.8143,0.4108,0.1393,0.923
2.07423877,-0.8229,0.4152,0.1427,0.933
2.077062462,-0.8287,0.4196,0.1456,0.940
2.079718231,-0.8372,0.4260,0.1534,0.952
2.081490462,-0.8411,0.4308,0.1619,0.959
2.08381177,-0.8527,0.4401,0.1740,0.975
2.086105924,-0.8560,0.4480,0.1710,0.981
2.088882462,-0.8441,0.4458,0.1717,0.970
2.090704924,-0.8383,0.4458,0.1756,0.966
2.098869847,-0.8341,0.4455,0.1747,0.962
2.09966,-0.8348,0.4389,0.1740,0.959
2.099992,-0.8380,0.4421,0.1719,0.963
2.105557924,-0.8380,0.4411,0.1679,0.962
2.105677616,-0.8446,0.4399,0.1644,0.966
2.105746539,-0.8465,0.4382,0.1622,0.967
2.109503385,-0.8480,0.4343,0.1654,0.967
2.109897,-0.8500,0.4329,0.1651,0.968
2.112504924,-0.8556,0.4299,0.1707,0.973
2.114380924,-0.8612,0.4294,0.1737,0.978
2.116750462,-0.8649,0.4318,0.1766,0.983
2.119687154,-0.8663,0.4311,0.1800,0.984
2.122092308,-0.8658,0.4341,0.1823,0.986
2.124160924,-0.8609,0.4367,0.1835,0.983
2.128933539,-0.8588,0.4369,0.1824,0.981
2.12967477,-0.8524,0.4394,0.1842,0.977
2.131782231,-0.8480,0.4431,0.1852,0.974
2.133333231,-0.8463,0.4487,0.1871,0.976
2.136014847,-0.8475,0.4534,0.1881,0.979
2.140135077,-0.8488,0.4583,0.1935,0.984
2.140767385,-0.8524,0.4636,0.1986,0.990
2.143498231,-0.8534,0.4639,0.2045,0.993
2.145373847,-0.8553,0.4667,0.2143,0.998
2.148124616,-0.8565,0.4692,0.2201,1.001
2.150292,-0.8558,0.4704,0.2252,1.002
2.152449231,-0.8560,0.4716,0.2299,1.004
2.155061924,-0.8551,0.4741,0.2333,1.005
2.157281308,-0.8544,0.4760,0.2357,1.006
2.162361616,-0.8529,0.4783,0.2378,1.006
2.163359077,-0.8544,0.4802,0.2372,1.008
2.164645308,-0.8516,0.4783,0.2369,1.005
2.166789308,-0.8488,0.4805,0.2325,1.003
2.169234154,-0.8456,0.4785,0.2306,0.999
2.173745539,-0.8439,0.4821,0.2267,0.998
2.174590462,-0.8423,0.4805,0.2201,0.994
2.182980693,-0.8411,0.4819,0.2143,0.993
2.183593616,-0.8397,0.4821,0.2101,0.991
2.183916616,-0.8395,0.4807,0.2091,0.990
2.184296077,-0.8436,0.4821,0.2071,0.993
2.185997847,-0.8432,0.4816,0.2077,0.993
2.188136308,-0.8456,0.4783,0.2054,0.993
2.191562462,-0.8497,0.4797,0.2052,0.997
2.193877847,-0.8573,0.4776,0.2069,1.003
2.196862462,-0.8583,0.4768,0.2057,1.003
2.197977924,-0.8632,0.4746,0.2006,1.005
2.200323462,-0.8653,0.4714,0.1959,1.005
2.203246462,-0.8681,0.4707,0.1957,1.007
2.20512277,-0.8639,0.4680,0.1920,1.001
2.211342539,-0.8619,0.4641,0.1933,0.998
2.21911177,-0.8585,0.4578,0.1935,0.992
2.219334154,-0.8632,0.4551,0.1973,0.996
2.219400385,-0.8617,0.4521,0.1998,0.993
2.219457,-0.8600,0.4490,0.2035,0.991
2.219518462,-0.8551,0.4472,0.2091,0.987
2.222046154,-0.8556,0.4474,0.2167,0.990
2.223822539,-0.8558,0.4450,0.2236,0.990
2.226075385,-0.8568,0.4462,0.2267,0.992
2.228799385,-0.8544,0.4499,0.2292,0.992
2.231578154,-0.8549,0.4480,0.2338,0.993
2.24000377,-0.8556,0.4492,0.2362,0.995
2.240631693,-0.8590,0.4480,0.2406,0.998
2.240792077,-0.8612,0.4472,0.2482,1.002
2.240950847,-0.8649,0.4480,0.2553,1.007
2.243205616,-0.8641,0.4465,0.2609,1.007
2.245234231,-0.8663,0.4438,0.2685,1.010
2.248240924,-0.8683,0.4448,0.2748,1.014
2.25033077,-0.8732,0.4431,0.2753,1.017
